time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
250313-181010,0,"[False, True, False, True]",28,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 27, 29, 30, 31, 34, 35, 36, 37]","['E', 14]",right,250313-181010,1,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181020,1,"[True, True, True, True]",35,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 27, 29, 30, 31, 34, 36, 37]","['N', 2]",right,250313-181020,2,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181027,2,"[True, False, True, True]",34,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 27, 29, 30, 31, 36, 37]","['W', 11]",right,250313-181027,3,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181039,3,"[False, True, True, False]",27,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 29, 30, 31, 36, 37]","['S', 10]",right,250313-181039,4,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181048,4,"[False, True, False, True]",28,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 29, 30, 31, 36, 37]","['E', 14]",right,NA,4,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181055,5,"[True, True, True, True]",29,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 30, 31, 36, 37]","['W', 11]",forwards,250313-181055,5,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181107,6,"[False, True, True, True]",36,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 30, 31, 37]","['S', 10]",right,250313-181107,6,180,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181118,7,"[False, True, True, True]",35,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 30, 31, 37]","['E', 14]",right,NA,6,270,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181207,8,"[True, False, True, True]",34,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 30, 31, 37]","['W', 11]",forwards,NA,6,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181738,9,"[False, True, True, False]",35,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 30, 31, 37]","['W', 11]",backwards,NA,6,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-181747,10,"[True, False, True, True]",36,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 30, 31, 37]","['E', 14]",forwards,NA,6,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-182833,11,"[False, True, True, True]",37,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 30, 31]","['W', 11]",forwards,250313-182833,7,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-182847,12,"[True, False, True, False]",30,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25, 31]","['N', 2]",left,250313-182847,8,0,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-182858,13,"[True, False, True, True]",31,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 24, 25]","['W', 11]",right,250313-182858,9,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-182908,14,"[True, False, True, False]",24,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 25]","['N', 2]",left,250313-182908,10,0,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-182920,15,"[True, True, True, False]",25,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23]","['W', 11]",right,250313-182920,11,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-182938,16,"[True, False, True, False]",18,"[4, 5, 9, 10, 11, 12, 16, 17, 19, 21, 22, 23]","['N', 2]",left,250313-182938,12,0,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-182950,17,"[True, False, True, False]",19,"[4, 5, 9, 10, 11, 12, 16, 17, 21, 22, 23]","['W', 11]",right,250313-182950,13,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183002,18,"[True, False, True, False]",12,"[4, 5, 9, 10, 11, 16, 17, 21, 22, 23]","['N', 2]",left,250313-183002,14,0,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183013,19,"[True, False, False, True]",11,"[4, 5, 9, 10, 16, 17, 21, 22, 23]","['E', 14]",left,250313-183013,15,270,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183025,20,"[True, False, False, True]",5,"[4, 9, 10, 16, 17, 21, 22, 23]","['N', 2]",right,250313-183025,16,0,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183038,21,"[True, False, False, True]",4,"[9, 10, 16, 17, 21, 22, 23]","['E', 14]",left,250313-183038,17,270,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183050,22,"[False, True, False, True]",10,"[9, 16, 17, 21, 22, 23]","['S', 10]",left,250313-183050,18,180,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183058,23,"[False, True, False, True]",9,"[16, 17, 21, 22, 23]","['E', 14]",right,250313-183058,19,270,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183112,24,"[False, True, False, True]",16,"[17, 21, 22, 23]","['S', 10]",left,250313-183112,20,180,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183127,25,"[True, True, True, False]",23,"[17, 21, 22]","['N', 2]",forwards,250313-183127,21,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183136,26,"[True, False, True, False]",22,"[17, 21]","['W', 11]",right,250313-183136,22,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
250313-183151,27,"[False, False, True, True]",21,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 22, 23, 24, 25, 27, 28, 29, 30, 31, 34, 35, 36, 37]","['E', 14]",forwards,250313-183151,23,270,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,27,"{'N': 0.04416, 'S': 0.033359999999999994, 'W': 0.03804, 'E': 0.0348}"
