exp_moment,animal_ID,bundled_filename,original_paths,n_yoking_df_rows,sha256,file_size_bytes
240222-135617,002,240222-135617_a002_data.csv,./data_in/1_experiment_csvs/240222-135617_a002_data.csv,1,605a2972a4b18b859d70e6660f6d99897aa0bab40cb86d592535106e82ec247b,2781
240222-140529,002,240222-140529_a002_data.csv,./data_in/1_experiment_csvs/240222-140529_a002_data.csv,1,291f70f58568afef860d551f70aba9c2b91fb3d813e23613eeb4df72ae97186a,3889
240222-151220,002,240222-151220_a002_data.csv,./data_in/1_experiment_csvs/240222-151220_a002_data.csv,1,8bb0f4d7f1ff6cef86cf2b0642f857e048ae005dc3cf024ec067ec00f82a32d8,12441
240222-165224,007,240222-165224_a007_data.csv,./data_in/1_experiment_csvs/240222-165224_a007_data.csv,1,76cc337acd94299837e31b1015b6cd206bef5b21443373fbc1fab1d33ce56b10,26463
240222-172048,007,240222-172048_a007_data.csv,./data_in/1_experiment_csvs/240222-172048_a007_data.csv,1,8f068b34f1f1bf45f06de288b98e3c97bd7ad478c1969858d006ee113e2e1409,6110
240222-175335,008,240222-175335_a008_data.csv,./data_in/1_experiment_csvs/240222-175335_a008_data.csv,1,606e859562ba03f11607ea383b92f50b086d0796b1118b3d913a0a26bbe644a7,4797
240222-181600,008,240222-181600_a008_data.csv,./data_in/1_experiment_csvs/240222-181600_a008_data.csv,1,637a1f5540d515d149bd218a18dae06b4ddc91c518d84726277336ceb4bc3660,3876
240222-182933,008,240222-182933_a008_data.csv,./data_in/1_experiment_csvs/240222-182933_a008_data.csv,1,3ab294e071effd3cf1821a39023bd2130869bd951cc40770906c217b4a323260,5441
240222-204949,002,240222-204949_a002_data.csv,./data_in/1_experiment_csvs/240222-204949_a002_data.csv,1,545beaa154496480d11c073486ddc775fdd9d584a3d84f72dfe5660dc8e24543,16876
240222-224328,002,240222-224328_a002_data.csv,./data_in/1_experiment_csvs/240222-224328_a002_data.csv,1,a3d9efde5a4d3ed7a7dde972e42e929e7979ed3cf719f7d7012c3fbfe107a9d1,22909
240223-160431,002,240223-160431_a002_data.csv,./data_in/1_experiment_csvs/240223-160431_a002_data.csv,1,e66a4089efb0656955201e78501fc66c49155c0acefb9ce25078822bb87e2881,23853
240223-174033,007,240223-174033_a007_data.csv,./data_in/1_experiment_csvs/240223-174033_a007_data.csv,1,96581d67179e48282ff9db2ff04ff017f2c56825e6a9562091447deab9c8c720,37695
240223-193124,008,240223-193124_a008_data.csv,./data_in/1_experiment_csvs/240223-193124_a008_data.csv,1,9a0aca5cc11cbc7239029ac0fbcebaeb126b8ee1cbef7eacc450cbc0b4be5179,57444
240223-214541,002,240223-214541_a002_data.csv,./data_in/1_experiment_csvs/240223-214541_a002_data.csv,1,b2dc82cd32673c05c6bd9688a0d8d8ac89ff360b8a7dca2ddae5ce0833b8af03,24580
240223-221851,007,240223-221851_a007_data.csv,./data_in/1_experiment_csvs/240223-221851_a007_data.csv,1,68aa83f7f486e71961510895ec7be929815fb2cf76e4eb7b1b0b8750a0e6fd92,23028
240224-150641,002,240224-150641_a002_data.csv,./data_in/1_experiment_csvs/240224-150641_a002_data.csv,1,723590b5d6f7a6139eac44458ff465a8e86e50eb89de0c0d1260ea4031909395,29810
240224-171744,007,240224-171744_a007_data.csv,./data_in/1_experiment_csvs/240224-171744_a007_data.csv,1,ea62fe16543161d85c50034f2f20dc9e1119e00ee92b3c6303f17b6c228ba423,58230
240224-190358,008,240224-190358_a008_data.csv,./data_in/1_experiment_csvs/240224-190358_a008_data.csv,1,12108e67e249272f0ece3636ab1d5b15eac47a1c7ec27a36dd514f8890935f4e,71111
240224-203254,002,240224-203254_a002_data.csv,./data_in/1_experiment_csvs/240224-203254_a002_data.csv,1,c2f23241f717c421c45897a15763ee008cbbde0755079888e35071fdaecb5f1a,30052
240225-160114,002,240225-160114_a002_data.csv,./data_in/1_experiment_csvs/240225-160114_a002_data.csv,1,b19ac535711f3bfcc390783d709c999d2f44520a479a4f3e4bd4fd9d5850cc48,27449
