exp_moment,animal_ID,model,history_len,config_name,repeat_idx,total_reward,n_actions,timestamp,seed,hpo_config
260124-225237,033,A2C,0,ego,0,68.0,258,2026-03-17T02:50:34.050931,60791,default
260124-225237,033,A2C,0,ego,1,62.0,258,2026-03-17T02:50:34.322379,60792,default
260124-225237,033,A2C,0,ego,2,56.0,258,2026-03-17T02:50:34.602956,60793,default
260124-225237,033,A2C,0,ego,3,41.0,258,2026-03-17T02:50:34.870472,60794,default
260124-225237,033,A2C,0,ego,4,63.0,258,2026-03-17T02:50:35.121584,60795,default
260123-141609,033,A2C,0,ego,0,36.0,98,2026-03-17T02:50:35.268963,60791,default
260123-141609,033,A2C,0,ego,1,33.0,98,2026-03-17T02:50:35.422032,60792,default
260123-141609,033,A2C,0,ego,2,27.0,98,2026-03-17T02:50:35.558864,60793,default
260123-141609,033,A2C,0,ego,3,24.0,98,2026-03-17T02:50:35.701936,60794,default
260123-141609,033,A2C,0,ego,4,33.0,98,2026-03-17T02:50:35.831373,60795,default
260121-174047,033,A2C,0,ego,0,12.0,157,2026-03-17T02:50:36.005895,60791,default
260121-174047,033,A2C,0,ego,1,27.0,157,2026-03-17T02:50:36.200776,60792,default
260121-174047,033,A2C,0,ego,2,54.0,157,2026-03-17T02:50:36.389413,60793,default
260121-174047,033,A2C,0,ego,3,20.0,157,2026-03-17T02:50:36.578006,60794,default
260121-174047,033,A2C,0,ego,4,42.0,157,2026-03-17T02:50:36.764267,60795,default
260119-172108,033,A2C,0,ego,0,12.0,195,2026-03-17T02:50:36.956049,60791,default
260119-172108,033,A2C,0,ego,1,40.0,195,2026-03-17T02:50:37.181875,60792,default
260119-172108,033,A2C,0,ego,2,62.0,195,2026-03-17T02:50:37.397048,60793,default
260119-172108,033,A2C,0,ego,3,26.0,195,2026-03-17T02:50:37.615300,60794,default
260119-172108,033,A2C,0,ego,4,55.0,195,2026-03-17T02:50:37.831269,60795,default
260117-175942,033,A2C,0,ego,0,12.0,135,2026-03-17T02:50:37.989132,60791,default
260117-175942,033,A2C,0,ego,1,21.0,135,2026-03-17T02:50:38.170287,60792,default
260117-175942,033,A2C,0,ego,2,41.0,135,2026-03-17T02:50:38.333024,60793,default
260117-175942,033,A2C,0,ego,3,14.0,135,2026-03-17T02:50:38.509532,60794,default
260117-175942,033,A2C,0,ego,4,36.0,135,2026-03-17T02:50:38.669604,60795,default
260116-175247,033,A2C,0,ego,0,12.0,179,2026-03-17T02:50:38.859154,60791,default
260116-175247,033,A2C,0,ego,1,34.0,179,2026-03-17T02:50:39.075301,60792,default
260116-175247,033,A2C,0,ego,2,61.0,179,2026-03-17T02:50:39.277523,60793,default
260116-175247,033,A2C,0,ego,3,23.0,179,2026-03-17T02:50:39.487655,60794,default
260116-175247,033,A2C,0,ego,4,49.0,179,2026-03-17T02:50:39.685204,60795,default
251231-172527,031,A2C,0,ego,0,12.0,121,2026-03-17T02:50:39.829808,60791,default
251231-172527,031,A2C,0,ego,1,14.0,121,2026-03-17T02:50:39.997802,60792,default
251231-172527,031,A2C,0,ego,2,37.0,121,2026-03-17T02:50:40.152959,60793,default
251231-172527,031,A2C,0,ego,3,11.0,121,2026-03-17T02:50:40.314618,60794,default
251231-172527,031,A2C,0,ego,4,28.0,121,2026-03-17T02:50:40.465673,60795,default
251230-171810,031,A2C,0,ego,0,12.0,171,2026-03-17T02:50:40.647337,60791,default
251230-171810,031,A2C,0,ego,1,34.0,171,2026-03-17T02:50:40.865242,60792,default
251230-171810,031,A2C,0,ego,2,56.0,171,2026-03-17T02:50:41.062916,60793,default
251230-171810,031,A2C,0,ego,3,20.0,171,2026-03-17T02:50:41.264040,60794,default
251230-171810,031,A2C,0,ego,4,47.0,171,2026-03-17T02:50:41.458481,60795,default
251229-180544,031,A2C,0,ego,0,52.0,318,2026-03-17T02:50:41.752632,60791,default
251229-180544,031,A2C,0,ego,1,66.0,318,2026-03-17T02:50:42.082702,60792,default
251229-180544,031,A2C,0,ego,2,90.0,318,2026-03-17T02:50:42.385049,60793,default
251229-180544,031,A2C,0,ego,3,27.0,318,2026-03-17T02:50:42.710748,60794,default
251229-180544,031,A2C,0,ego,4,69.0,318,2026-03-17T02:50:43.013104,60795,default
251228-174043,031,A2C,0,ego,0,21.0,195,2026-03-17T02:50:43.248577,60791,default
251228-174043,031,A2C,0,ego,1,35.0,195,2026-03-17T02:50:43.476005,60792,default
251228-174043,031,A2C,0,ego,2,24.0,195,2026-03-17T02:50:43.703681,60793,default
251228-174043,031,A2C,0,ego,3,22.0,195,2026-03-17T02:50:43.924215,60794,default
251228-174043,031,A2C,0,ego,4,23.0,195,2026-03-17T02:50:44.141230,60795,default
251227-174332,031,A2C,0,ego,0,29.0,247,2026-03-17T02:50:44.410937,60791,default
251227-174332,031,A2C,0,ego,1,35.0,247,2026-03-17T02:50:44.691602,60792,default
251227-174332,031,A2C,0,ego,2,34.0,247,2026-03-17T02:50:44.962223,60793,default
251227-174332,031,A2C,0,ego,3,35.0,247,2026-03-17T02:50:45.242342,60794,default
251227-174332,031,A2C,0,ego,4,23.0,247,2026-03-17T02:50:45.509003,60795,default
251226-181307,031,A2C,0,ego,0,22.0,208,2026-03-17T02:50:45.747764,60791,default
251226-181307,031,A2C,0,ego,1,35.0,208,2026-03-17T02:50:45.994315,60792,default
251226-181307,031,A2C,0,ego,2,24.0,208,2026-03-17T02:50:46.234014,60793,default
251226-181307,031,A2C,0,ego,3,27.0,208,2026-03-17T02:50:46.468283,60794,default
251226-181307,031,A2C,0,ego,4,23.0,208,2026-03-17T02:50:46.692654,60795,default
251225-181630,031,A2C,0,ego,0,18.0,178,2026-03-17T02:50:46.893872,60791,default
251225-181630,031,A2C,0,ego,1,28.0,178,2026-03-17T02:50:47.111949,60792,default
251225-181630,031,A2C,0,ego,2,24.0,178,2026-03-17T02:50:47.318116,60793,default
251225-181630,031,A2C,0,ego,3,22.0,178,2026-03-17T02:50:47.523100,60794,default
251225-181630,031,A2C,0,ego,4,23.0,178,2026-03-17T02:50:47.720730,60795,default
251224-181729,031,A2C,0,ego,0,7.0,80,2026-03-17T02:50:47.842389,60791,default
251224-181729,031,A2C,0,ego,1,8.0,80,2026-03-17T02:50:47.981410,60792,default
251224-181729,031,A2C,0,ego,2,20.0,80,2026-03-17T02:50:48.111907,60793,default
251224-181729,031,A2C,0,ego,3,21.0,80,2026-03-17T02:50:48.234377,60794,default
