exp_moment,model,seed,total_reward,n_actions,animal_ID,elapsed_s
260124-225237,POMCP_bio,42,203.0,258,033,52.59847903251648
260124-225237,POMCP_bio,43,18.0,258,033,22.266497135162354
260124-225237,POMCP_bio,44,21.0,258,033,22.811587810516357
260124-225237,POMCP_bio,45,18.0,258,033,22.198030948638916
260124-225237,POMCP_bio,46,20.0,258,033,22.828311920166016
260123-141609,POMCP_bio,42,69.0,98,033,16.51711106300354
260123-141609,POMCP_bio,43,18.0,98,033,6.737025022506714
260123-141609,POMCP_bio,44,21.0,98,033,7.311554193496704
260123-141609,POMCP_bio,45,18.0,98,033,6.713879108428955
260123-141609,POMCP_bio,46,20.0,98,033,7.220912218093872
260121-174047,POMCP_bio,42,109.0,157,033,28.299004077911377
260121-174047,POMCP_bio,43,19.0,157,033,12.539583444595337
260121-174047,POMCP_bio,44,18.0,157,033,12.533029079437256
260121-174047,POMCP_bio,45,20.0,157,033,12.506520986557007
260121-174047,POMCP_bio,46,21.0,157,033,12.560093879699707
260119-172108,POMCP_bio,42,139.0,195,033,36.76846408843994
260119-172108,POMCP_bio,43,19.0,195,033,16.20919704437256
260119-172108,POMCP_bio,44,18.0,195,033,16.3943510055542
260119-172108,POMCP_bio,45,20.0,195,033,16.26015591621399
260119-172108,POMCP_bio,46,21.0,195,033,16.320832014083862
260117-175942,POMCP_bio,42,93.0,135,033,23.433634042739868
260117-175942,POMCP_bio,43,19.0,135,033,10.426231145858765
260117-175942,POMCP_bio,44,18.0,135,033,10.474819660186768
260117-175942,POMCP_bio,45,20.0,135,033,10.42724871635437
260117-175942,POMCP_bio,46,21.0,135,033,10.464349031448364
260116-175247,POMCP_bio,42,126.0,179,033,33.33933186531067
260116-175247,POMCP_bio,43,19.0,179,033,14.689144134521484
260116-175247,POMCP_bio,44,18.0,179,033,14.685312032699585
260116-175247,POMCP_bio,45,20.0,179,033,14.71475887298584
260116-175247,POMCP_bio,46,21.0,179,033,14.675654888153076
251231-172527,POMCP_bio,42,82.0,121,031,20.356766939163208
251231-172527,POMCP_bio,43,19.0,121,031,9.043044090270996
251231-172527,POMCP_bio,44,18.0,121,031,8.994969129562378
251231-172527,POMCP_bio,45,20.0,121,031,9.014700889587402
251231-172527,POMCP_bio,46,21.0,121,031,9.00922179222107
251230-171810,POMCP_bio,42,123.0,171,031,31.518671989440918
