exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_sessions,repeat_idx,total_reward,n_actions,seed,timestamp
260124-225237,033,DQN,default,none,0,0,36.0,258,42,2026-03-16T17:24:12.559109
260124-225237,033,DQN,default,prior_sessions_same_maze,13,0,91.0,258,42,2026-03-16T17:24:13.540279
260124-225237,033,DQN,default,none,0,1,55.0,258,43,2026-03-16T17:24:13.775862
260124-225237,033,DQN,default,prior_sessions_same_maze,13,1,106.0,258,43,2026-03-16T17:24:14.675493
260124-225237,033,DQN,default,none,0,2,98.0,258,44,2026-03-16T17:24:14.925050
260124-225237,033,DQN,default,prior_sessions_same_maze,13,2,97.0,258,44,2026-03-16T17:24:15.803792
260124-225237,033,DQN,default,none,0,3,63.0,258,45,2026-03-16T17:24:16.030840
260124-225237,033,DQN,default,prior_sessions_same_maze,13,3,175.0,258,45,2026-03-16T17:24:16.895715
260124-225237,033,DQN,default,none,0,4,73.0,258,46,2026-03-16T17:24:17.119832
260124-225237,033,DQN,default,prior_sessions_same_maze,13,4,40.0,258,46,2026-03-16T17:24:18.261341
260123-141609,033,DQN,default,none,0,0,33.0,98,42,2026-03-16T17:24:18.380280
260123-141609,033,DQN,default,prior_sessions_same_maze,12,0,8.0,98,42,2026-03-16T17:24:19.175774
260123-141609,033,DQN,default,none,0,1,11.0,98,43,2026-03-16T17:24:19.288216
260123-141609,033,DQN,default,prior_sessions_same_maze,12,1,17.0,98,43,2026-03-16T17:24:20.144778
260123-141609,033,DQN,default,none,0,2,37.0,98,44,2026-03-16T17:24:20.313111
260123-141609,033,DQN,default,prior_sessions_same_maze,12,2,47.0,98,44,2026-03-16T17:24:21.127538
260123-141609,033,DQN,default,none,0,3,14.0,98,45,2026-03-16T17:24:21.263610
260123-141609,033,DQN,default,prior_sessions_same_maze,12,3,42.0,98,45,2026-03-16T17:24:22.109899
260123-141609,033,DQN,default,none,0,4,28.0,98,46,2026-03-16T17:24:22.263144
260123-141609,033,DQN,default,prior_sessions_same_maze,12,4,42.0,98,46,2026-03-16T17:24:23.050325
260121-174047,033,DQN,default,none,0,0,24.0,157,42,2026-03-16T17:24:23.195661
260121-174047,033,DQN,default,prior_sessions_same_maze,10,0,55.0,157,42,2026-03-16T17:24:23.946568
260121-174047,033,DQN,default,none,0,1,48.0,157,43,2026-03-16T17:24:24.156680
260121-174047,033,DQN,default,prior_sessions_same_maze,10,1,36.0,157,43,2026-03-16T17:24:24.880207
260121-174047,033,DQN,default,none,0,2,14.0,157,44,2026-03-16T17:24:25.038758
260121-174047,033,DQN,default,prior_sessions_same_maze,10,2,27.0,157,44,2026-03-16T17:24:25.721932
260121-174047,033,DQN,default,none,0,3,18.0,157,45,2026-03-16T17:24:25.931919
260121-174047,033,DQN,default,prior_sessions_same_maze,10,3,91.0,157,45,2026-03-16T17:24:26.650697
260121-174047,033,DQN,default,none,0,4,38.0,157,46,2026-03-16T17:24:26.826326
260121-174047,033,DQN,default,prior_sessions_same_maze,10,4,50.0,157,46,2026-03-16T17:24:27.541090
260119-172108,033,DQN,default,none,0,0,28.0,195,42,2026-03-16T17:24:27.703152
260119-172108,033,DQN,default,prior_sessions_same_maze,9,0,96.0,195,42,2026-03-16T17:24:28.338049
260119-172108,033,DQN,default,none,0,1,75.0,195,43,2026-03-16T17:24:28.552493
260119-172108,033,DQN,default,prior_sessions_same_maze,9,1,78.0,195,43,2026-03-16T17:24:29.198998
260119-172108,033,DQN,default,none,0,2,22.0,195,44,2026-03-16T17:24:29.377279
260119-172108,033,DQN,default,prior_sessions_same_maze,9,2,129.0,195,44,2026-03-16T17:24:29.988911
260119-172108,033,DQN,default,none,0,3,22.0,195,45,2026-03-16T17:24:30.212664
260119-172108,033,DQN,default,prior_sessions_same_maze,9,3,82.0,195,45,2026-03-16T17:24:30.859262
260119-172108,033,DQN,default,none,0,4,48.0,195,46,2026-03-16T17:24:31.045991
260119-172108,033,DQN,default,prior_sessions_same_maze,9,4,96.0,195,46,2026-03-16T17:24:31.678162
260117-175942,033,DQN,default,none,0,0,14.0,135,42,2026-03-16T17:24:31.817638
260117-175942,033,DQN,default,prior_sessions_same_maze,8,0,22.0,135,42,2026-03-16T17:24:32.372901
260117-175942,033,DQN,default,none,0,1,38.0,135,43,2026-03-16T17:24:32.569721
