exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_episodes,repeat_idx,total_reward,n_actions,seed,elapsed_s,timestamp
260124-225237,033,DQN,default,target_session,0,0,36.0,258,42,0.21414494514465332,2026-03-16T20:33:18.659344
260124-225237,033,DQN,default,target_session,0,1,55.0,258,43,0.2388160228729248,2026-03-16T20:33:18.898193
260124-225237,033,DQN,default,target_session,0,2,98.0,258,44,0.2320258617401123,2026-03-16T20:33:19.130242
260124-225237,033,DQN,default,target_session,0,3,63.0,258,45,0.2326650619506836,2026-03-16T20:33:19.362931
260124-225237,033,DQN,default,target_session,0,4,73.0,258,46,0.2305288314819336,2026-03-16T20:33:19.593483
260124-225237,033,DQN,default,target_session,1,0,82.0,258,42,0.2986128330230713,2026-03-16T20:33:19.892123
260124-225237,033,DQN,default,target_session,1,1,209.0,258,43,0.33823204040527344,2026-03-16T20:33:20.230383
260124-225237,033,DQN,default,target_session,1,2,82.0,258,44,0.3472020626068115,2026-03-16T20:33:20.577605
260124-225237,033,DQN,default,target_session,1,3,107.0,258,45,0.339569091796875,2026-03-16T20:33:20.917197
260124-225237,033,DQN,default,target_session,1,4,133.0,258,46,0.34340715408325195,2026-03-16T20:33:21.260626
260124-225237,033,DQN,default,target_session,2,0,152.0,258,42,0.40978407859802246,2026-03-16T20:33:21.670434
260124-225237,033,DQN,default,target_session,2,1,158.0,258,43,0.4682290554046631,2026-03-16T20:33:22.138684
260124-225237,033,DQN,default,target_session,2,2,84.0,258,44,0.45728302001953125,2026-03-16T20:33:22.595986
260124-225237,033,DQN,default,target_session,2,3,127.0,258,45,0.4516458511352539,2026-03-16T20:33:23.047654
260124-225237,033,DQN,default,target_session,2,4,82.0,258,46,0.46231603622436523,2026-03-16T20:33:23.509997
260124-225237,033,DQN,default,target_session,5,0,165.0,258,42,0.7712938785552979,2026-03-16T20:33:24.281315
260124-225237,033,DQN,default,target_session,5,1,219.0,258,43,0.7989909648895264,2026-03-16T20:33:25.080328
260124-225237,033,DQN,default,target_session,5,2,114.0,258,44,0.8150339126586914,2026-03-16T20:33:25.895384
260124-225237,033,DQN,default,target_session,5,3,56.0,258,45,0.7908458709716797,2026-03-16T20:33:26.686252
260124-225237,033,DQN,default,target_session,5,4,129.0,258,46,0.7961990833282471,2026-03-16T20:33:27.482473
260124-225237,033,DQN,default,target_session,10,0,206.0,258,42,1.3177013397216797,2026-03-16T20:33:28.800197
260124-225237,033,DQN,default,target_session,10,1,215.0,258,43,1.3887240886688232,2026-03-16T20:33:30.188941
260124-225237,033,DQN,default,target_session,10,2,211.0,258,44,1.3636400699615479,2026-03-16T20:33:31.552602
260124-225237,033,DQN,default,target_session,10,3,110.0,258,45,1.381437063217163,2026-03-16T20:33:32.934059
260124-225237,033,DQN,default,target_session,10,4,119.0,258,46,1.3243088722229004,2026-03-16T20:33:34.258385
260124-225237,033,DQN,default,target_session,20,0,224.0,258,42,2.441343069076538,2026-03-16T20:33:36.699752
260124-225237,033,DQN,default,target_session,20,1,210.0,258,43,2.4940240383148193,2026-03-16T20:33:39.193797
260124-225237,033,DQN,default,target_session,20,2,231.0,258,44,2.4661197662353516,2026-03-16T20:33:41.659938
260124-225237,033,DQN,default,target_session,20,3,14.0,258,45,2.4703338146209717,2026-03-16T20:33:44.130294
260124-225237,033,DQN,default,target_session,20,4,232.0,258,46,2.459566116333008,2026-03-16T20:33:46.589881
260123-141609,033,DQN,default,target_session,0,0,33.0,98,42,0.12403202056884766,2026-03-16T20:33:46.714389
260123-141609,033,DQN,default,target_session,0,1,11.0,98,43,0.10614395141601562,2026-03-16T20:33:46.820553
260123-141609,033,DQN,default,target_session,0,2,37.0,98,44,0.1593151092529297,2026-03-16T20:33:46.979889
260123-141609,033,DQN,default,target_session,0,3,14.0,98,45,0.14192891120910645,2026-03-16T20:33:47.121840
260123-141609,033,DQN,default,target_session,0,4,28.0,98,46,0.137160062789917,2026-03-16T20:33:47.259019
260123-141609,033,DQN,default,target_session,1,0,8.0,98,42,0.1788341999053955,2026-03-16T20:33:47.437877
260123-141609,033,DQN,default,target_session,1,1,19.0,98,43,0.20107817649841309,2026-03-16T20:33:47.638978
260123-141609,033,DQN,default,target_session,1,2,33.0,98,44,0.20836710929870605,2026-03-16T20:33:47.847364
260123-141609,033,DQN,default,target_session,1,3,13.0,98,45,0.20881199836730957,2026-03-16T20:33:48.056195
260123-141609,033,DQN,default,target_session,1,4,26.0,98,46,0.2009899616241455,2026-03-16T20:33:48.257207
260123-141609,033,DQN,default,target_session,2,0,12.0,98,42,0.2268531322479248,2026-03-16T20:33:48.484083
260123-141609,033,DQN,default,target_session,2,1,14.0,98,43,0.24856972694396973,2026-03-16T20:33:48.732674
260123-141609,033,DQN,default,target_session,2,2,36.0,98,44,0.2542281150817871,2026-03-16T20:33:48.986922
260123-141609,033,DQN,default,target_session,2,3,54.0,98,45,0.25025296211242676,2026-03-16T20:33:49.237198
260123-141609,033,DQN,default,target_session,2,4,14.0,98,46,0.23843097686767578,2026-03-16T20:33:49.475648
260123-141609,033,DQN,default,target_session,5,0,68.0,98,42,0.35265302658081055,2026-03-16T20:33:49.828326
260123-141609,033,DQN,default,target_session,5,1,54.0,98,43,0.37778186798095703,2026-03-16T20:33:50.206129
260123-141609,033,DQN,default,target_session,5,2,26.0,98,44,0.3950510025024414,2026-03-16T20:33:50.601202
260123-141609,033,DQN,default,target_session,5,3,39.0,98,45,0.3782520294189453,2026-03-16T20:33:50.979476
260123-141609,033,DQN,default,target_session,5,4,50.0,98,46,0.36507582664489746,2026-03-16T20:33:51.344573
260123-141609,033,DQN,default,target_session,10,0,56.0,98,42,0.5766913890838623,2026-03-16T20:33:51.921288
260123-141609,033,DQN,default,target_session,10,1,33.0,98,43,0.575732946395874,2026-03-16T20:33:52.497043
260123-141609,033,DQN,default,target_session,10,2,34.0,98,44,0.595283031463623,2026-03-16T20:33:53.092345
260123-141609,033,DQN,default,target_session,10,3,75.0,98,45,0.6098339557647705,2026-03-16T20:33:53.702200
260123-141609,033,DQN,default,target_session,10,4,42.0,98,46,0.574862003326416,2026-03-16T20:33:54.277082
260123-141609,033,DQN,default,target_session,20,0,67.0,98,42,1.0213940143585205,2026-03-16T20:33:55.298500
260123-141609,033,DQN,default,target_session,20,1,29.0,98,43,1.0515258312225342,2026-03-16T20:33:56.350047
260123-141609,033,DQN,default,target_session,20,2,41.0,98,44,0.9884569644927979,2026-03-16T20:33:57.338525
260123-141609,033,DQN,default,target_session,20,3,79.0,98,45,1.0257911682128906,2026-03-16T20:33:58.364337
260123-141609,033,DQN,default,target_session,20,4,56.0,98,46,1.0027410984039307,2026-03-16T20:33:59.367098
260121-174047,033,DQN,default,target_session,0,0,24.0,157,42,0.17031240463256836,2026-03-16T20:33:59.537950
260121-174047,033,DQN,default,target_session,0,1,48.0,157,43,0.21135783195495605,2026-03-16T20:33:59.749328
260121-174047,033,DQN,default,target_session,0,2,14.0,157,44,0.1845548152923584,2026-03-16T20:33:59.933904
260121-174047,033,DQN,default,target_session,0,3,18.0,157,45,0.21640515327453613,2026-03-16T20:34:00.150330
260121-174047,033,DQN,default,target_session,0,4,38.0,157,46,0.18179988861083984,2026-03-16T20:34:00.332150
260121-174047,033,DQN,default,target_session,1,0,50.0,157,42,0.2463059425354004,2026-03-16T20:34:00.578480
260121-174047,033,DQN,default,target_session,1,1,75.0,157,43,0.27814412117004395,2026-03-16T20:34:00.856643
260121-174047,033,DQN,default,target_session,1,2,38.0,157,44,0.22927188873291016,2026-03-16T20:34:01.085934
260121-174047,033,DQN,default,target_session,1,3,72.0,157,45,0.2957479953765869,2026-03-16T20:34:01.381704
260121-174047,033,DQN,default,target_session,1,4,84.0,157,46,0.24945592880249023,2026-03-16T20:34:01.631181
260121-174047,033,DQN,default,target_session,2,0,67.0,157,42,0.3097798824310303,2026-03-16T20:34:01.940986
260121-174047,033,DQN,default,target_session,2,1,76.0,157,43,0.3376791477203369,2026-03-16T20:34:02.278684
260121-174047,033,DQN,default,target_session,2,2,96.0,157,44,0.34897685050964355,2026-03-16T20:34:02.627681
260121-174047,033,DQN,default,target_session,2,3,67.0,157,45,0.35287976264953613,2026-03-16T20:34:02.980579
260121-174047,033,DQN,default,target_session,2,4,38.0,157,46,0.31322717666625977,2026-03-16T20:34:03.293827
260121-174047,033,DQN,default,target_session,5,0,82.0,157,42,0.4907798767089844,2026-03-16T20:34:03.784629
260121-174047,033,DQN,default,target_session,5,1,55.0,157,43,0.55483078956604,2026-03-16T20:34:04.339480
260121-174047,033,DQN,default,target_session,5,2,134.0,157,44,0.5389711856842041,2026-03-16T20:34:04.878474
260121-174047,033,DQN,default,target_session,5,3,141.0,157,45,0.5749852657318115,2026-03-16T20:34:05.453480
260121-174047,033,DQN,default,target_session,5,4,130.0,157,46,0.5240650177001953,2026-03-16T20:34:05.977567
260121-174047,033,DQN,default,target_session,10,0,68.0,157,42,0.8707690238952637,2026-03-16T20:34:06.848360
260121-174047,033,DQN,default,target_session,10,1,70.0,157,43,0.8920760154724121,2026-03-16T20:34:07.740457
260121-174047,033,DQN,default,target_session,10,2,130.0,157,44,0.8538377285003662,2026-03-16T20:34:08.594315
260121-174047,033,DQN,default,target_session,10,3,134.0,157,45,0.90165114402771,2026-03-16T20:34:09.495988
260121-174047,033,DQN,default,target_session,10,4,136.0,157,46,0.8657007217407227,2026-03-16T20:34:10.361709
260121-174047,033,DQN,default,target_session,20,0,72.0,157,42,1.5280628204345703,2026-03-16T20:34:11.889797
260121-174047,033,DQN,default,target_session,20,1,95.0,157,43,1.5562920570373535,2026-03-16T20:34:13.446108
260121-174047,033,DQN,default,target_session,20,2,129.0,157,44,1.5665948390960693,2026-03-16T20:34:15.012723
260121-174047,033,DQN,default,target_session,20,3,128.0,157,45,1.5962989330291748,2026-03-16T20:34:16.609043
260121-174047,033,DQN,default,target_session,20,4,130.0,157,46,1.5318248271942139,2026-03-16T20:34:18.140889
260119-172108,033,DQN,default,target_session,0,0,28.0,195,42,0.18892121315002441,2026-03-16T20:34:18.330355
260119-172108,033,DQN,default,target_session,0,1,75.0,195,43,0.22676301002502441,2026-03-16T20:34:18.557138
260119-172108,033,DQN,default,target_session,0,2,22.0,195,44,0.20015597343444824,2026-03-16T20:34:18.757316
260119-172108,033,DQN,default,target_session,0,3,22.0,195,45,0.22718286514282227,2026-03-16T20:34:18.984523
260119-172108,033,DQN,default,target_session,0,4,48.0,195,46,0.18002700805664062,2026-03-16T20:34:19.164569
260119-172108,033,DQN,default,target_session,1,0,82.0,195,42,0.26262712478637695,2026-03-16T20:34:19.427219
260119-172108,033,DQN,default,target_session,1,1,71.0,195,43,0.3186919689178467,2026-03-16T20:34:19.745931
260119-172108,033,DQN,default,target_session,1,2,52.0,195,44,0.26015615463256836,2026-03-16T20:34:20.006110
260119-172108,033,DQN,default,target_session,1,3,83.0,195,45,0.3263559341430664,2026-03-16T20:34:20.332487
260119-172108,033,DQN,default,target_session,1,4,112.0,195,46,0.2794780731201172,2026-03-16T20:34:20.611987
260119-172108,033,DQN,default,target_session,2,0,84.0,195,42,0.36034488677978516,2026-03-16T20:34:20.972354
260119-172108,033,DQN,default,target_session,2,1,125.0,195,43,0.37146592140197754,2026-03-16T20:34:21.343841
260119-172108,033,DQN,default,target_session,2,2,83.0,195,44,0.34840822219848633,2026-03-16T20:34:21.692270
260119-172108,033,DQN,default,target_session,2,3,144.0,195,45,0.3828542232513428,2026-03-16T20:34:22.075145
260119-172108,033,DQN,default,target_session,2,4,47.0,195,46,0.35849881172180176,2026-03-16T20:34:22.433666
260119-172108,033,DQN,default,target_session,5,0,79.0,195,42,0.6082110404968262,2026-03-16T20:34:23.041899
260119-172108,033,DQN,default,target_session,5,1,102.0,195,43,0.6602921485900879,2026-03-16T20:34:23.702214
260119-172108,033,DQN,default,target_session,5,2,155.0,195,44,0.6043510437011719,2026-03-16T20:34:24.306587
260119-172108,033,DQN,default,target_session,5,3,113.0,195,45,0.6633529663085938,2026-03-16T20:34:24.969961
260119-172108,033,DQN,default,target_session,5,4,163.0,195,46,0.6286683082580566,2026-03-16T20:34:25.598651
260119-172108,033,DQN,default,target_session,10,0,68.0,195,42,1.039168119430542,2026-03-16T20:34:26.637843
260119-172108,033,DQN,default,target_session,10,1,106.0,195,43,1.0800199508666992,2026-03-16T20:34:27.717883
260119-172108,033,DQN,default,target_session,10,2,169.0,195,44,1.0721189975738525,2026-03-16T20:34:28.790024
260119-172108,033,DQN,default,target_session,10,3,156.0,195,45,1.1049931049346924,2026-03-16T20:34:29.895039
260119-172108,033,DQN,default,target_session,10,4,156.0,195,46,1.0436060428619385,2026-03-16T20:34:30.938667
260119-172108,033,DQN,default,target_session,20,0,28.0,195,42,1.8574531078338623,2026-03-16T20:34:32.796143
260119-172108,033,DQN,default,target_session,20,1,35.0,195,43,1.8426628112792969,2026-03-16T20:34:34.638827
260119-172108,033,DQN,default,target_session,20,2,160.0,195,44,1.8740768432617188,2026-03-16T20:34:36.512924
260119-172108,033,DQN,default,target_session,20,3,161.0,195,45,1.9500548839569092,2026-03-16T20:34:38.462999
260119-172108,033,DQN,default,target_session,20,4,158.0,195,46,1.906703233718872,2026-03-16T20:34:40.369722
260117-175942,033,DQN,default,target_session,0,0,14.0,135,42,0.15700888633728027,2026-03-16T20:34:40.527254
260117-175942,033,DQN,default,target_session,0,1,38.0,135,43,0.2032310962677002,2026-03-16T20:34:40.730507
260117-175942,033,DQN,default,target_session,0,2,14.0,135,44,0.1626873016357422,2026-03-16T20:34:40.893215
260117-175942,033,DQN,default,target_session,0,3,18.0,135,45,0.19328784942626953,2026-03-16T20:34:41.086524
260117-175942,033,DQN,default,target_session,0,4,35.0,135,46,0.17131900787353516,2026-03-16T20:34:41.257865
260117-175942,033,DQN,default,target_session,1,0,85.0,135,42,0.2219252586364746,2026-03-16T20:34:41.479814
260117-175942,033,DQN,default,target_session,1,1,78.0,135,43,0.26377081871032715,2026-03-16T20:34:41.743606
260117-175942,033,DQN,default,target_session,1,2,14.0,135,44,0.2297360897064209,2026-03-16T20:34:41.973367
260117-175942,033,DQN,default,target_session,1,3,20.0,135,45,0.2666900157928467,2026-03-16T20:34:42.240079
260117-175942,033,DQN,default,target_session,1,4,50.0,135,46,0.23842382431030273,2026-03-16T20:34:42.478528
260117-175942,033,DQN,default,target_session,2,0,68.0,135,42,0.2817878723144531,2026-03-16T20:34:42.760341
260117-175942,033,DQN,default,target_session,2,1,70.0,135,43,0.30367112159729004,2026-03-16T20:34:43.064034
260117-175942,033,DQN,default,target_session,2,2,116.0,135,44,0.2902791500091553,2026-03-16T20:34:43.354333
260117-175942,033,DQN,default,target_session,2,3,22.0,135,45,0.35614585876464844,2026-03-16T20:34:43.710500
260117-175942,033,DQN,default,target_session,2,4,54.0,135,46,0.2821660041809082,2026-03-16T20:34:43.992686
260117-175942,033,DQN,default,target_session,5,0,83.0,135,42,0.46358203887939453,2026-03-16T20:34:44.456290
260117-175942,033,DQN,default,target_session,5,1,83.0,135,43,0.49898219108581543,2026-03-16T20:34:44.955293
260117-175942,033,DQN,default,target_session,5,2,96.0,135,44,0.4672987461090088,2026-03-16T20:34:45.422615
260117-175942,033,DQN,default,target_session,5,3,22.0,135,45,0.5198440551757812,2026-03-16T20:34:45.942480
260117-175942,033,DQN,default,target_session,5,4,113.0,135,46,0.4408299922943115,2026-03-16T20:34:46.383330
260117-175942,033,DQN,default,target_session,10,0,81.0,135,42,0.7611420154571533,2026-03-16T20:34:47.144494
260117-175942,033,DQN,default,target_session,10,1,68.0,135,43,0.785193920135498,2026-03-16T20:34:47.929709
260117-175942,033,DQN,default,target_session,10,2,108.0,135,44,0.7906820774078369,2026-03-16T20:34:48.720410
260117-175942,033,DQN,default,target_session,10,3,97.0,135,45,0.8379058837890625,2026-03-16T20:34:49.558337
