exp_moment,animal_ID,maze,model,repeat_idx,total_reward,n_actions,mouse_reward,seed,elapsed_s,date_part
260124-225237,033,250311_latMaz101,VarMarkov,0,64.0,258,138,42,0.0444,260124
260124-225237,033,250311_latMaz101,VarMarkov,1,49.0,258,138,43,0.0414,260124
260124-225237,033,250311_latMaz101,VarMarkov,2,62.0,258,138,44,0.0408,260124
260124-225237,033,250311_latMaz101,VarMarkov,3,49.0,258,138,45,0.0415,260124
260124-225237,033,250311_latMaz101,VarMarkov,4,42.0,258,138,46,0.0412,260124
260123-141609,033,250311_latMaz101,VarMarkov,0,19.0,98,51,42,0.0372,260123
260123-141609,033,250311_latMaz101,VarMarkov,1,19.0,98,51,43,0.0378,260123
260123-141609,033,250311_latMaz101,VarMarkov,2,34.0,98,51,44,0.0395,260123
260123-141609,033,250311_latMaz101,VarMarkov,3,27.0,98,51,45,0.0389,260123
260123-141609,033,250311_latMaz101,VarMarkov,4,23.0,98,51,46,0.0413,260123
260122-174904,033,250311_latMaz101,VarMarkov,0,9.0,16,4,42,0.0363,260122
260122-174904,033,250311_latMaz101,VarMarkov,1,12.0,16,4,43,0.0357,260122
260122-174904,033,250311_latMaz101,VarMarkov,2,4.0,16,4,44,0.0371,260122
260122-174904,033,250311_latMaz101,VarMarkov,3,5.0,16,4,45,0.0359,260122
260122-174904,033,250311_latMaz101,VarMarkov,4,11.0,16,4,46,0.0372,260122
260121-174047,033,250311_latMaz101,VarMarkov,0,23.0,157,28,42,0.0404,260121
260121-174047,033,250311_latMaz101,VarMarkov,1,33.0,157,28,43,0.0387,260121
260121-174047,033,250311_latMaz101,VarMarkov,2,47.0,157,28,44,0.0389,260121
260121-174047,033,250311_latMaz101,VarMarkov,3,24.0,157,28,45,0.0395,260121
260121-174047,033,250311_latMaz101,VarMarkov,4,38.0,157,28,46,0.0396,260121
260119-172108,033,250311_latMaz101,VarMarkov,0,28.0,195,28,42,0.0415,260119
260119-172108,033,250311_latMaz101,VarMarkov,1,39.0,195,28,43,0.0404,260119
260119-172108,033,250311_latMaz101,VarMarkov,2,51.0,195,28,44,0.042,260119
260119-172108,033,250311_latMaz101,VarMarkov,3,28.0,195,28,45,0.0402,260119
260119-172108,033,250311_latMaz101,VarMarkov,4,52.0,195,28,46,0.0396,260119
260117-175942,033,250311_latMaz101,VarMarkov,0,17.0,135,24,42,0.0384,260117
260117-175942,033,250311_latMaz101,VarMarkov,1,27.0,135,24,43,0.0387,260117
260117-175942,033,250311_latMaz101,VarMarkov,2,40.0,135,24,44,0.0396,260117
260117-175942,033,250311_latMaz101,VarMarkov,3,23.0,135,24,45,0.0391,260117
260117-175942,033,250311_latMaz101,VarMarkov,4,37.0,135,24,46,0.04,260117
260116-175247,033,250311_latMaz101,VarMarkov,0,27.0,179,95,42,0.0402,260116
260116-175247,033,250311_latMaz101,VarMarkov,1,38.0,179,95,43,0.0396,260116
260116-175247,033,250311_latMaz101,VarMarkov,2,48.0,179,95,44,0.0395,260116
260116-175247,033,250311_latMaz101,VarMarkov,3,24.0,179,95,45,0.0406,260116
260116-175247,033,250311_latMaz101,VarMarkov,4,40.0,179,95,46,0.0425,260116
260115-151117,033,250311_latMaz101,VarMarkov,0,8.0,12,10,42,0.0391,260115
260115-151117,033,250311_latMaz101,VarMarkov,1,9.0,12,10,43,0.0354,260115
260115-151117,033,250311_latMaz101,VarMarkov,2,4.0,12,10,44,0.0369,260115
260115-151117,033,250311_latMaz101,VarMarkov,3,5.0,12,10,45,0.0359,260115
260115-151117,033,250311_latMaz101,VarMarkov,4,9.0,12,10,46,0.0354,260115
251231-172527,031,250311_latMaz101,VarMarkov,0,17.0,121,13,42,0.0392,251231
251231-172527,031,250311_latMaz101,VarMarkov,1,26.0,121,13,43,0.0394,251231
251231-172527,031,250311_latMaz101,VarMarkov,2,36.0,121,13,44,0.0405,251231
251231-172527,031,250311_latMaz101,VarMarkov,3,23.0,121,13,45,0.0406,251231
251231-172527,031,250311_latMaz101,VarMarkov,4,34.0,121,13,46,0.0396,251231
251230-171810,031,250311_latMaz101,VarMarkov,0,26.0,171,7,42,0.0389,251230
251230-171810,031,250311_latMaz101,VarMarkov,1,33.0,171,7,43,0.0386,251230
251230-171810,031,250311_latMaz101,VarMarkov,2,47.0,171,7,44,0.0424,251230
251230-171810,031,250311_latMaz101,VarMarkov,3,24.0,171,7,45,0.0431,251230
251230-171810,031,250311_latMaz101,VarMarkov,4,38.0,171,7,46,0.0412,251230
251229-180544,031,250311_latMaz101,VarMarkov,0,56.0,318,70,42,0.0437,251229
251229-180544,031,250311_latMaz101,VarMarkov,1,54.0,318,70,43,0.0435,251229
251229-180544,031,250311_latMaz101,VarMarkov,2,66.0,318,70,44,0.0429,251229
251229-180544,031,250311_latMaz101,VarMarkov,3,50.0,318,70,45,0.043,251229
251229-180544,031,250311_latMaz101,VarMarkov,4,64.0,318,70,46,0.0438,251229
251228-174043,031,250311_latMaz103,VarMarkov,0,13.0,195,13,42,0.0419,251228
251228-174043,031,250311_latMaz103,VarMarkov,1,51.0,195,13,43,0.04,251228
251228-174043,031,250311_latMaz103,VarMarkov,2,24.0,195,13,44,0.0392,251228
251228-174043,031,250311_latMaz103,VarMarkov,3,34.0,195,13,45,0.0389,251228
251228-174043,031,250311_latMaz103,VarMarkov,4,13.0,195,13,46,0.0428,251228
