exp_moment,animal_ID,model,repeat_idx,total_reward,n_actions,seed,elapsed_s
260124-225237,033,Random,0,42.0,258,42,0.029309988021850586
260124-225237,033,Random,1,63.0,258,43,0.029901742935180664
260124-225237,033,Random,2,41.0,258,44,0.030476093292236328
260124-225237,033,Random,3,19.0,258,45,0.02935791015625
260124-225237,033,Random,4,39.0,258,46,0.028632164001464844
260124-225237,033,Random_forward,0,96.0,258,42,0.029115915298461914
260124-225237,033,Random_forward,1,104.0,258,43,0.029320240020751953
260124-225237,033,Random_forward,2,98.0,258,44,0.029489755630493164
260124-225237,033,Random_forward,3,102.0,258,45,0.029047250747680664
260124-225237,033,Random_forward,4,125.0,258,46,0.029076099395751953
260124-225237,033,Greedy_oracle,0,220.0,258,42,0.024023056030273438
260124-225237,033,Greedy_oracle,1,220.0,258,43,0.024456024169921875
260124-225237,033,Greedy_oracle,2,220.0,258,44,0.024150609970092773
260124-225237,033,Greedy_oracle,3,220.0,258,45,0.024104833602905273
260124-225237,033,Greedy_oracle,4,220.0,258,46,0.02427816390991211
260123-141609,033,Random,0,18.0,98,42,0.011025190353393555
260123-141609,033,Random,1,27.0,98,43,0.011057138442993164
260123-141609,033,Random,2,28.0,98,44,0.010732650756835938
260123-141609,033,Random,3,13.0,98,45,0.011218070983886719
260123-141609,033,Random,4,26.0,98,46,0.011250734329223633
260123-141609,033,Random_forward,0,42.0,98,42,0.010969161987304688
260123-141609,033,Random_forward,1,39.0,98,43,0.011538982391357422
260123-141609,033,Random_forward,2,41.0,98,44,0.011240243911743164
260123-141609,033,Random_forward,3,40.0,98,45,0.01129913330078125
260123-141609,033,Random_forward,4,59.0,98,46,0.011127710342407227
260123-141609,033,Greedy_oracle,0,83.0,98,42,0.009128093719482422
260123-141609,033,Greedy_oracle,1,83.0,98,43,0.00924992561340332
260123-141609,033,Greedy_oracle,2,83.0,98,44,0.009119987487792969
260123-141609,033,Greedy_oracle,3,84.0,98,45,0.009311914443969727
260123-141609,033,Greedy_oracle,4,84.0,98,46,0.009132146835327148
260121-174047,033,Random,0,28.0,157,42,0.01762676239013672
260121-174047,033,Random,1,36.0,157,43,0.01711106300354004
260121-174047,033,Random,2,40.0,157,44,0.01840496063232422
260121-174047,033,Random,3,25.0,157,45,0.017422199249267578
260121-174047,033,Random,4,41.0,157,46,0.01776909828186035
260121-174047,033,Random_forward,0,49.0,157,42,0.017457962036132812
260121-174047,033,Random_forward,1,70.0,157,43,0.01782679557800293
260121-174047,033,Random_forward,2,70.0,157,44,0.017705917358398438
260121-174047,033,Random_forward,3,55.0,157,45,0.017416954040527344
260121-174047,033,Random_forward,4,38.0,157,46,0.017794132232666016
260121-174047,033,Greedy_oracle,0,135.0,157,42,0.014757156372070312
260121-174047,033,Greedy_oracle,1,135.0,157,43,0.014733076095581055
260121-174047,033,Greedy_oracle,2,135.0,157,44,0.014734983444213867
260121-174047,033,Greedy_oracle,3,135.0,157,45,0.014415740966796875
260121-174047,033,Greedy_oracle,4,135.0,157,46,0.014610052108764648
260119-172108,033,Random,0,28.0,195,42,0.02184295654296875
