exp_moment,model,exploit_timeout,exploit_greediness,seed,total_reward,n_actions,rpa,elapsed_s
260124-225237,FSC_bio,1,3.0,42,125.0,258,0.4844961240310077,0.058
260124-225237,FSC_bio,1,3.0,43,152.0,258,0.5891472868217055,0.057
260124-225237,FSC_bio,1,3.0,44,138.0,258,0.5348837209302325,0.062
260124-225237,FSC_bio,1,3.0,45,134.0,258,0.5193798449612403,0.056
260124-225237,FSC_bio,1,3.0,46,98.0,258,0.3798449612403101,0.054
260123-141609,FSC_bio,1,3.0,42,54.0,98,0.5510204081632653,0.063
260123-141609,FSC_bio,1,3.0,43,67.0,98,0.6836734693877551,0.054
260123-141609,FSC_bio,1,3.0,44,50.0,98,0.5102040816326531,0.06
260123-141609,FSC_bio,1,3.0,45,52.0,98,0.5306122448979592,0.051
260123-141609,FSC_bio,1,3.0,46,57.0,98,0.5816326530612245,0.063
260121-174047,FSC_bio,1,3.0,42,84.0,157,0.535031847133758,0.057
260121-174047,FSC_bio,1,3.0,43,94.0,157,0.5987261146496815,0.058
260121-174047,FSC_bio,1,3.0,44,89.0,157,0.5668789808917197,0.056
260121-174047,FSC_bio,1,3.0,45,79.0,157,0.5031847133757962,0.061
260121-174047,FSC_bio,1,3.0,46,75.0,157,0.47770700636942676,0.06
260119-172108,FSC_bio,1,3.0,42,110.0,195,0.5641025641025641,0.054
260119-172108,FSC_bio,1,3.0,43,117.0,195,0.6,0.055
260119-172108,FSC_bio,1,3.0,44,122.0,195,0.6256410256410256,0.059
260119-172108,FSC_bio,1,3.0,45,84.0,195,0.4307692307692308,0.061
260119-172108,FSC_bio,1,3.0,46,104.0,195,0.5333333333333333,0.053
260117-175942,FSC_bio,1,3.0,42,78.0,135,0.5777777777777777,0.058
260117-175942,FSC_bio,1,3.0,43,80.0,135,0.5925925925925926,0.06
260117-175942,FSC_bio,1,3.0,44,83.0,135,0.6148148148148148,0.058
260117-175942,FSC_bio,1,3.0,45,60.0,135,0.4444444444444444,0.049
260117-175942,FSC_bio,1,3.0,46,70.0,135,0.5185185185185185,0.061
260116-175247,FSC_bio,1,3.0,42,100.0,179,0.5586592178770949,0.059
260116-175247,FSC_bio,1,3.0,43,110.0,179,0.6145251396648045,0.058
260116-175247,FSC_bio,1,3.0,44,110.0,179,0.6145251396648045,0.059
260116-175247,FSC_bio,1,3.0,45,81.0,179,0.45251396648044695,0.056
260116-175247,FSC_bio,1,3.0,46,90.0,179,0.5027932960893855,0.062
251231-172527,FSC_bio,1,3.0,42,76.0,121,0.628099173553719,0.063
251231-172527,FSC_bio,1,3.0,43,68.0,121,0.5619834710743802,0.049
251231-172527,FSC_bio,1,3.0,44,83.0,121,0.6859504132231405,0.058
251231-172527,FSC_bio,1,3.0,45,53.0,121,0.4380165289256198,0.063
251231-172527,FSC_bio,1,3.0,46,66.0,121,0.5454545454545454,0.057
251230-171810,FSC_bio,1,3.0,42,92.0,171,0.5380116959064327,0.05
251230-171810,FSC_bio,1,3.0,43,105.0,171,0.6140350877192983,0.06
251230-171810,FSC_bio,1,3.0,44,103.0,171,0.6023391812865497,0.065
251230-171810,FSC_bio,1,3.0,45,81.0,171,0.47368421052631576,0.053
251230-171810,FSC_bio,1,3.0,46,82.0,171,0.47953216374269003,0.056
251229-180544,FSC_bio,1,3.0,42,160.0,318,0.5031446540880503,0.057
251229-180544,FSC_bio,1,3.0,43,192.0,318,0.6037735849056604,0.072
251229-180544,FSC_bio,1,3.0,44,212.0,318,0.6666666666666666,0.068
251229-180544,FSC_bio,1,3.0,45,123.0,318,0.3867924528301887,0.06
251229-180544,FSC_bio,1,3.0,46,168.0,318,0.5283018867924528,0.056
251228-174043,FSC_bio,1,3.0,42,127.0,195,0.6512820512820513,0.061
251228-174043,FSC_bio,1,3.0,43,98.0,195,0.5025641025641026,0.053
251228-174043,FSC_bio,1,3.0,44,112.0,195,0.5743589743589743,0.059
251228-174043,FSC_bio,1,3.0,45,112.0,195,0.5743589743589743,0.054
251228-174043,FSC_bio,1,3.0,46,119.0,195,0.6102564102564103,0.059
251227-174332,FSC_bio,1,3.0,42,162.0,247,0.6558704453441295,0.056
251227-174332,FSC_bio,1,3.0,43,111.0,247,0.4493927125506073,0.057
251227-174332,FSC_bio,1,3.0,44,139.0,247,0.562753036437247,0.061
251227-174332,FSC_bio,1,3.0,45,126.0,247,0.5101214574898786,0.058
251227-174332,FSC_bio,1,3.0,46,139.0,247,0.562753036437247,0.059
251226-181307,FSC_bio,1,3.0,42,139.0,208,0.6682692307692307,0.057
251226-181307,FSC_bio,1,3.0,43,98.0,208,0.47115384615384615,0.061
251226-181307,FSC_bio,1,3.0,44,116.0,208,0.5576923076923077,0.061
251226-181307,FSC_bio,1,3.0,45,114.0,208,0.5480769230769231,0.052
251226-181307,FSC_bio,1,3.0,46,126.0,208,0.6057692307692307,0.059
251225-181630,FSC_bio,1,3.0,42,122.0,178,0.6853932584269663,0.057
251225-181630,FSC_bio,1,3.0,43,90.0,178,0.5056179775280899,0.059
251225-181630,FSC_bio,1,3.0,44,99.0,178,0.5561797752808989,0.059
251225-181630,FSC_bio,1,3.0,45,109.0,178,0.6123595505617978,0.059
251225-181630,FSC_bio,1,3.0,46,110.0,178,0.6179775280898876,0.064
251224-181729,FSC_bio,1,3.0,42,45.0,80,0.5625,0.053
251224-181729,FSC_bio,1,3.0,43,49.0,80,0.6125,0.056
251224-181729,FSC_bio,1,3.0,44,42.0,80,0.525,0.05
251224-181729,FSC_bio,1,3.0,45,42.0,80,0.525,0.053
251224-181729,FSC_bio,1,3.0,46,56.0,80,0.7,0.061
251222-194856,FSC_bio,1,3.0,42,139.0,212,0.6556603773584906,0.058
251222-194856,FSC_bio,1,3.0,43,98.0,212,0.46226415094339623,0.056
251222-194856,FSC_bio,1,3.0,44,120.0,212,0.5660377358490566,0.066
251222-194856,FSC_bio,1,3.0,45,118.0,212,0.5566037735849056,0.06
251222-194856,FSC_bio,1,3.0,46,126.0,212,0.5943396226415094,0.055
251221-193410,FSC_bio,1,3.0,42,363.0,529,0.6862003780718336,0.065
251221-193410,FSC_bio,1,3.0,43,276.0,529,0.5217391304347826,0.06
251221-193410,FSC_bio,1,3.0,44,355.0,529,0.6710775047258979,0.061
251221-193410,FSC_bio,1,3.0,45,264.0,529,0.499054820415879,0.065
251221-193410,FSC_bio,1,3.0,46,318.0,529,0.6011342155009451,0.069
251220-165800,FSC_bio,1,3.0,42,465.0,695,0.6690647482014388,0.069
251220-165800,FSC_bio,1,3.0,43,377.0,695,0.5424460431654676,0.063
251220-165800,FSC_bio,1,3.0,44,476.0,695,0.6848920863309352,0.069
251220-165800,FSC_bio,1,3.0,45,364.0,695,0.5237410071942447,0.069
251220-165800,FSC_bio,1,3.0,46,427.0,695,0.6143884892086331,0.063
251130-232218,FSC_bio,1,3.0,42,161.0,239,0.6736401673640168,0.056
251130-232218,FSC_bio,1,3.0,43,111.0,239,0.46443514644351463,0.064
251130-232218,FSC_bio,1,3.0,44,137.0,239,0.5732217573221757,0.06
251130-232218,FSC_bio,1,3.0,45,126.0,239,0.5271966527196653,0.052
251130-232218,FSC_bio,1,3.0,46,139.0,239,0.5815899581589958,0.061
251130-134624,FSC_bio,1,3.0,42,178.0,270,0.6592592592592592,0.062
251130-134624,FSC_bio,1,3.0,43,122.0,270,0.45185185185185184,0.057
251130-134624,FSC_bio,1,3.0,44,154.0,270,0.5703703703703704,0.055
251130-134624,FSC_bio,1,3.0,45,144.0,270,0.5333333333333333,0.057
251130-134624,FSC_bio,1,3.0,46,140.0,270,0.5185185185185185,0.061
251129-155326,FSC_bio,1,3.0,42,221.0,420,0.5261904761904762,0.058
251129-155326,FSC_bio,1,3.0,43,224.0,420,0.5333333333333333,0.059
251129-155326,FSC_bio,1,3.0,44,251.0,420,0.5976190476190476,0.066
251129-155326,FSC_bio,1,3.0,45,165.0,420,0.39285714285714285,0.062
251129-155326,FSC_bio,1,3.0,46,220.0,420,0.5238095238095238,0.061
251128-125956,FSC_bio,1,3.0,42,139.0,271,0.5129151291512916,0.056
251128-125956,FSC_bio,1,3.0,43,169.0,271,0.6236162361623616,0.061
251128-125956,FSC_bio,1,3.0,44,177.0,271,0.6531365313653137,0.062
251128-125956,FSC_bio,1,3.0,45,103.0,271,0.3800738007380074,0.056
251128-125956,FSC_bio,1,3.0,46,140.0,271,0.5166051660516605,0.061
251127-113857,FSC_bio,1,3.0,42,78.0,140,0.5571428571428572,0.055
251127-113857,FSC_bio,1,3.0,43,82.0,140,0.5857142857142857,0.06
251127-113857,FSC_bio,1,3.0,44,83.0,140,0.5928571428571429,0.057
251127-113857,FSC_bio,1,3.0,45,62.0,140,0.44285714285714284,0.056
251127-113857,FSC_bio,1,3.0,46,70.0,140,0.5,0.061
251126-135239,FSC_bio,1,3.0,42,160.0,317,0.5047318611987381,0.062
251126-135239,FSC_bio,1,3.0,43,192.0,317,0.6056782334384858,0.058
251126-135239,FSC_bio,1,3.0,44,211.0,317,0.6656151419558359,0.061
251126-135239,FSC_bio,1,3.0,45,123.0,317,0.38801261829652994,0.065
251126-135239,FSC_bio,1,3.0,46,167.0,317,0.526813880126183,0.058
251125-162636,FSC_bio,1,3.0,42,168.0,327,0.5137614678899083,0.056
251125-162636,FSC_bio,1,3.0,43,199.0,327,0.6085626911314985,0.06
251125-162636,FSC_bio,1,3.0,44,218.0,327,0.6666666666666666,0.064
251125-162636,FSC_bio,1,3.0,45,126.0,327,0.3853211009174312,0.06
251125-162636,FSC_bio,1,3.0,46,177.0,327,0.5412844036697247,0.058
251124-164313,FSC_bio,1,3.0,42,152.0,306,0.49673202614379086,0.068
251124-164313,FSC_bio,1,3.0,43,185.0,306,0.6045751633986928,0.067
251124-164313,FSC_bio,1,3.0,44,200.0,306,0.6535947712418301,0.054
251124-164313,FSC_bio,1,3.0,45,112.0,306,0.3660130718954248,0.062
251124-164313,FSC_bio,1,3.0,46,163.0,306,0.5326797385620915,0.063
251123-125720,FSC_bio,1,3.0,42,125.0,219,0.5707762557077626,0.055
251123-125720,FSC_bio,1,3.0,43,135.0,219,0.6164383561643836,0.062
251123-125720,FSC_bio,1,3.0,44,139.0,219,0.634703196347032,0.06
251123-125720,FSC_bio,1,3.0,45,84.0,219,0.3835616438356164,0.061
251123-125720,FSC_bio,1,3.0,46,122.0,219,0.5570776255707762,0.056
251122-140850,FSC_bio,1,3.0,42,105.0,156,0.6730769230769231,0.053
251122-140850,FSC_bio,1,3.0,43,79.0,156,0.5064102564102564,0.061
251122-140850,FSC_bio,1,3.0,44,94.0,156,0.6025641025641025,0.058
251122-140850,FSC_bio,1,3.0,45,93.0,156,0.5961538461538461,0.054
251122-140850,FSC_bio,1,3.0,46,102.0,156,0.6538461538461539,0.054
251121-141557,FSC_bio,1,3.0,42,139.0,207,0.6714975845410628,0.059
251121-141557,FSC_bio,1,3.0,43,98.0,207,0.47342995169082125,0.066
251121-141557,FSC_bio,1,3.0,44,115.0,207,0.5555555555555556,0.054
251121-141557,FSC_bio,1,3.0,45,113.0,207,0.5458937198067633,0.055
251121-141557,FSC_bio,1,3.0,46,126.0,207,0.6086956521739131,0.064
251120-132717,FSC_bio,1,3.0,42,151.0,296,0.5101351351351351,0.06
251120-132717,FSC_bio,1,3.0,43,180.0,296,0.6081081081081081,0.057
251120-132717,FSC_bio,1,3.0,44,192.0,296,0.6486486486486487,0.061
251120-132717,FSC_bio,1,3.0,45,110.0,296,0.3716216216216216,0.065
251120-132717,FSC_bio,1,3.0,46,154.0,296,0.5202702702702703,0.065
251119-171644,FSC_bio,1,3.0,42,430.0,546,0.7875457875457875,0.061
251119-171644,FSC_bio,1,3.0,43,335.0,546,0.6135531135531136,0.06
251119-171644,FSC_bio,1,3.0,44,335.0,546,0.6135531135531136,0.066
251119-171644,FSC_bio,1,3.0,45,363.0,546,0.6648351648351648,0.066
251119-171644,FSC_bio,1,3.0,46,449.0,546,0.8223443223443223,0.061
251116-180749,FSC_bio,1,3.0,42,50.0,89,0.5617977528089888,0.057
251116-180749,FSC_bio,1,3.0,43,33.0,89,0.3707865168539326,0.056
251116-180749,FSC_bio,1,3.0,44,53.0,89,0.5955056179775281,0.057
251116-180749,FSC_bio,1,3.0,45,45.0,89,0.5056179775280899,0.056
251116-180749,FSC_bio,1,3.0,46,36.0,89,0.4044943820224719,0.057
251115-180903,FSC_bio,1,3.0,42,70.0,96,0.7291666666666666,0.062
251115-180903,FSC_bio,1,3.0,43,55.0,96,0.5729166666666666,0.052
251115-180903,FSC_bio,1,3.0,44,41.0,96,0.4270833333333333,0.056
251115-180903,FSC_bio,1,3.0,45,27.0,96,0.28125,0.057
