exp_moment,model,seed,total_reward,n_actions,animal_ID
260124-225237,FullFwd,42,53.0,258,033
260124-225237,FullFwd,43,84.0,258,033
260124-225237,FullFwd,44,63.0,258,033
260124-225237,FullFwd,45,41.0,258,033
260124-225237,FullFwd,46,14.0,258,033
260124-225237,NoBkFullFwd,42,125.0,258,033
260124-225237,NoBkFullFwd,43,134.0,258,033
260124-225237,NoBkFullFwd,44,149.0,258,033
260124-225237,NoBkFullFwd,45,166.0,258,033
260124-225237,NoBkFullFwd,46,152.0,258,033
260124-225237,Clone_ego,42,97.0,258,033
260124-225237,Clone_ego,43,111.0,258,033
260124-225237,Clone_ego,44,80.0,258,033
260124-225237,Clone_ego,45,84.0,258,033
260124-225237,Clone_ego,46,80.0,258,033
260124-225237,Clone_allo_real,42,39.0,258,033
260124-225237,Clone_allo_real,43,52.0,258,033
260124-225237,Clone_allo_real,44,48.0,258,033
260124-225237,Clone_allo_real,45,64.0,258,033
260124-225237,Clone_allo_real,46,51.0,258,033
260124-225237,Clone_allo_latent,42,39.0,258,033
260124-225237,Clone_allo_latent,43,38.0,258,033
260124-225237,Clone_allo_latent,44,54.0,258,033
260124-225237,Clone_allo_latent,45,52.0,258,033
260124-225237,Clone_allo_latent,46,27.0,258,033
260123-141609,FullFwd,42,27.0,98,033
260123-141609,FullFwd,43,35.0,98,033
260123-141609,FullFwd,44,34.0,98,033
260123-141609,FullFwd,45,13.0,98,033
260123-141609,FullFwd,46,11.0,98,033
260123-141609,NoBkFullFwd,42,54.0,98,033
260123-141609,NoBkFullFwd,43,50.0,98,033
260123-141609,NoBkFullFwd,44,55.0,98,033
260123-141609,NoBkFullFwd,45,63.0,98,033
260123-141609,NoBkFullFwd,46,57.0,98,033
260123-141609,Clone_ego,42,28.0,98,033
260123-141609,Clone_ego,43,34.0,98,033
260123-141609,Clone_ego,44,42.0,98,033
260123-141609,Clone_ego,45,41.0,98,033
260123-141609,Clone_ego,46,13.0,98,033
260123-141609,Clone_allo_real,42,14.0,98,033
260123-141609,Clone_allo_real,43,25.0,98,033
260123-141609,Clone_allo_real,44,26.0,98,033
260123-141609,Clone_allo_real,45,32.0,98,033
260123-141609,Clone_allo_real,46,24.0,98,033
260123-141609,Clone_allo_latent,42,14.0,98,033
260123-141609,Clone_allo_latent,43,11.0,98,033
260123-141609,Clone_allo_latent,44,23.0,98,033
260123-141609,Clone_allo_latent,45,32.0,98,033
260123-141609,Clone_allo_latent,46,24.0,98,033
260121-174047,FullFwd,42,29.0,157,033
260121-174047,FullFwd,43,40.0,157,033
260121-174047,FullFwd,44,27.0,157,033
260121-174047,FullFwd,45,52.0,157,033
260121-174047,FullFwd,46,14.0,157,033
260121-174047,NoBkFullFwd,42,82.0,157,033
260121-174047,NoBkFullFwd,43,82.0,157,033
260121-174047,NoBkFullFwd,44,91.0,157,033
260121-174047,NoBkFullFwd,45,97.0,157,033
260121-174047,NoBkFullFwd,46,96.0,157,033
260121-174047,Clone_ego,42,61.0,157,033
260121-174047,Clone_ego,43,41.0,157,033
260121-174047,Clone_ego,44,55.0,157,033
260121-174047,Clone_ego,45,35.0,157,033
260121-174047,Clone_ego,46,55.0,157,033
260121-174047,Clone_allo_real,42,20.0,157,033
260121-174047,Clone_allo_real,43,25.0,157,033
260121-174047,Clone_allo_real,44,41.0,157,033
260121-174047,Clone_allo_real,45,33.0,157,033
260121-174047,Clone_allo_real,46,14.0,157,033
260121-174047,Clone_allo_latent,42,19.0,157,033
260121-174047,Clone_allo_latent,43,25.0,157,033
260121-174047,Clone_allo_latent,44,34.0,157,033
260121-174047,Clone_allo_latent,45,28.0,157,033
260121-174047,Clone_allo_latent,46,28.0,157,033
260119-172108,FullFwd,42,53.0,195,033
260119-172108,FullFwd,43,55.0,195,033
260119-172108,FullFwd,44,33.0,195,033
260119-172108,FullFwd,45,65.0,195,033
260119-172108,FullFwd,46,14.0,195,033
260119-172108,NoBkFullFwd,42,96.0,195,033
260119-172108,NoBkFullFwd,43,111.0,195,033
260119-172108,NoBkFullFwd,44,97.0,195,033
260119-172108,NoBkFullFwd,45,127.0,195,033
260119-172108,NoBkFullFwd,46,109.0,195,033
260119-172108,Clone_ego,42,62.0,195,033
260119-172108,Clone_ego,43,54.0,195,033
260119-172108,Clone_ego,44,41.0,195,033
260119-172108,Clone_ego,45,62.0,195,033
260119-172108,Clone_ego,46,84.0,195,033
260119-172108,Clone_allo_real,42,13.0,195,033
260119-172108,Clone_allo_real,43,35.0,195,033
260119-172108,Clone_allo_real,44,39.0,195,033
260119-172108,Clone_allo_real,45,36.0,195,033
260119-172108,Clone_allo_real,46,14.0,195,033
260119-172108,Clone_allo_latent,42,27.0,195,033
260119-172108,Clone_allo_latent,43,35.0,195,033
260119-172108,Clone_allo_latent,44,36.0,195,033
260119-172108,Clone_allo_latent,45,36.0,195,033
260119-172108,Clone_allo_latent,46,14.0,195,033
260117-175942,FullFwd,42,28.0,135,033
260117-175942,FullFwd,43,40.0,135,033
260117-175942,FullFwd,44,27.0,135,033
260117-175942,FullFwd,45,50.0,135,033
260117-175942,FullFwd,46,14.0,135,033
260117-175942,NoBkFullFwd,42,70.0,135,033
260117-175942,NoBkFullFwd,43,80.0,135,033
260117-175942,NoBkFullFwd,44,73.0,135,033
260117-175942,NoBkFullFwd,45,83.0,135,033
260117-175942,NoBkFullFwd,46,80.0,135,033
260117-175942,Clone_ego,42,56.0,135,033
260117-175942,Clone_ego,43,21.0,135,033
260117-175942,Clone_ego,44,20.0,135,033
260117-175942,Clone_ego,45,54.0,135,033
260117-175942,Clone_ego,46,19.0,135,033
260117-175942,Clone_allo_real,42,10.0,135,033
260117-175942,Clone_allo_real,43,25.0,135,033
260117-175942,Clone_allo_real,44,28.0,135,033
260117-175942,Clone_allo_real,45,24.0,135,033
260117-175942,Clone_allo_real,46,22.0,135,033
260117-175942,Clone_allo_latent,42,10.0,135,033
260117-175942,Clone_allo_latent,43,25.0,135,033
260117-175942,Clone_allo_latent,44,28.0,135,033
260117-175942,Clone_allo_latent,45,24.0,135,033
260117-175942,Clone_allo_latent,46,14.0,135,033
260116-175247,FullFwd,42,44.0,179,033
260116-175247,FullFwd,43,51.0,179,033
260116-175247,FullFwd,44,27.0,179,033
260116-175247,FullFwd,45,56.0,179,033
260116-175247,FullFwd,46,14.0,179,033
