exp_moment,animal_ID,model,repeat_idx,total_reward,n_actions,seed,elapsed_s,rpa,hpo_config,exploit_timeout,exploit_greediness
260124-225237,033,Random,0.0,42.0,258,42,0.0293099880218505,0.16279069767441862,,,
260124-225237,033,Random,1.0,63.0,258,43,0.0299017429351806,0.2441860465116279,,,
260124-225237,033,Random,2.0,41.0,258,44,0.0304760932922363,0.15891472868217055,,,
260124-225237,033,Random,3.0,19.0,258,45,0.02935791015625,0.07364341085271318,,,
260124-225237,033,Random,4.0,39.0,258,46,0.0286321640014648,0.1511627906976744,,,
260124-225237,033,Random_forward,0.0,96.0,258,42,0.0291159152984619,0.37209302325581395,,,
260124-225237,033,Random_forward,1.0,104.0,258,43,0.0293202400207519,0.40310077519379844,,,
260124-225237,033,Random_forward,2.0,98.0,258,44,0.0294897556304931,0.3798449612403101,,,
260124-225237,033,Random_forward,3.0,102.0,258,45,0.0290472507476806,0.3953488372093023,,,
260124-225237,033,Random_forward,4.0,125.0,258,46,0.0290760993957519,0.4844961240310077,,,
260124-225237,033,Greedy_oracle,0.0,220.0,258,42,0.0240230560302734,0.8527131782945736,,,
260124-225237,033,Greedy_oracle,1.0,220.0,258,43,0.0244560241699218,0.8527131782945736,,,
260124-225237,033,Greedy_oracle,2.0,220.0,258,44,0.0241506099700927,0.8527131782945736,,,
260124-225237,033,Greedy_oracle,3.0,220.0,258,45,0.0241048336029052,0.8527131782945736,,,
260124-225237,033,Greedy_oracle,4.0,220.0,258,46,0.0242781639099121,0.8527131782945736,,,
260123-141609,033,Random,0.0,18.0,98,42,0.0110251903533935,0.1836734693877551,,,
260123-141609,033,Random,1.0,27.0,98,43,0.0110571384429931,0.2755102040816326,,,
260123-141609,033,Random,2.0,28.0,98,44,0.0107326507568359,0.2857142857142857,,,
260123-141609,033,Random,3.0,13.0,98,45,0.0112180709838867,0.1326530612244898,,,
260123-141609,033,Random,4.0,26.0,98,46,0.0112507343292236,0.2653061224489796,,,
260123-141609,033,Random_forward,0.0,42.0,98,42,0.0109691619873046,0.42857142857142855,,,
260123-141609,033,Random_forward,1.0,39.0,98,43,0.0115389823913574,0.3979591836734694,,,
260123-141609,033,Random_forward,2.0,41.0,98,44,0.0112402439117431,0.41836734693877553,,,
260123-141609,033,Random_forward,3.0,40.0,98,45,0.0112991333007812,0.40816326530612246,,,
260123-141609,033,Random_forward,4.0,59.0,98,46,0.0111277103424072,0.6020408163265306,,,
260123-141609,033,Greedy_oracle,0.0,83.0,98,42,0.0091280937194824,0.8469387755102041,,,
260123-141609,033,Greedy_oracle,1.0,83.0,98,43,0.0092499256134033,0.8469387755102041,,,
260123-141609,033,Greedy_oracle,2.0,83.0,98,44,0.0091199874877929,0.8469387755102041,,,
260123-141609,033,Greedy_oracle,3.0,84.0,98,45,0.0093119144439697,0.8571428571428571,,,
260123-141609,033,Greedy_oracle,4.0,84.0,98,46,0.0091321468353271,0.8571428571428571,,,
260121-174047,033,Random,0.0,28.0,157,42,0.0176267623901367,0.17834394904458598,,,
260121-174047,033,Random,1.0,36.0,157,43,0.01711106300354,0.22929936305732485,,,
260121-174047,033,Random,2.0,40.0,157,44,0.0184049606323242,0.25477707006369427,,,
260121-174047,033,Random,3.0,25.0,157,45,0.0174221992492675,0.1592356687898089,,,
260121-174047,033,Random,4.0,41.0,157,46,0.0177690982818603,0.2611464968152866,,,
260121-174047,033,Random_forward,0.0,49.0,157,42,0.0174579620361328,0.31210191082802546,,,
260121-174047,033,Random_forward,1.0,70.0,157,43,0.0178267955780029,0.445859872611465,,,
260121-174047,033,Random_forward,2.0,70.0,157,44,0.0177059173583984,0.445859872611465,,,
260121-174047,033,Random_forward,3.0,55.0,157,45,0.0174169540405273,0.3503184713375796,,,
260121-174047,033,Random_forward,4.0,38.0,157,46,0.017794132232666,0.24203821656050956,,,
260121-174047,033,Greedy_oracle,0.0,135.0,157,42,0.0147571563720703,0.8598726114649682,,,
260121-174047,033,Greedy_oracle,1.0,135.0,157,43,0.014733076095581,0.8598726114649682,,,
260121-174047,033,Greedy_oracle,2.0,135.0,157,44,0.0147349834442138,0.8598726114649682,,,
260121-174047,033,Greedy_oracle,3.0,135.0,157,45,0.0144157409667968,0.8598726114649682,,,
260121-174047,033,Greedy_oracle,4.0,135.0,157,46,0.0146100521087646,0.8598726114649682,,,
260119-172108,033,Random,0.0,28.0,195,42,0.0218429565429687,0.14358974358974358,,,
260119-172108,033,Random,1.0,48.0,195,43,0.0219998359680175,0.24615384615384617,,,
260119-172108,033,Random,2.0,42.0,195,44,0.0223469734191894,0.2153846153846154,,,
260119-172108,033,Random,3.0,25.0,195,45,0.0220019817352294,0.1282051282051282,,,
260119-172108,033,Random,4.0,50.0,195,46,0.0218398571014404,0.2564102564102564,,,
260119-172108,033,Random_forward,0.0,50.0,195,42,0.0215051174163818,0.2564102564102564,,,
260119-172108,033,Random_forward,1.0,92.0,195,43,0.0223517417907714,0.4717948717948718,,,
260119-172108,033,Random_forward,2.0,94.0,195,44,0.0225038528442382,0.48205128205128206,,,
260119-172108,033,Random_forward,3.0,71.0,195,45,0.021881103515625,0.3641025641025641,,,
260119-172108,033,Random_forward,4.0,38.0,195,46,0.0223429203033447,0.19487179487179487,,,
260119-172108,033,Greedy_oracle,0.0,167.0,195,42,0.0187048912048339,0.8564102564102564,,,
260119-172108,033,Greedy_oracle,1.0,167.0,195,43,0.0184128284454345,0.8564102564102564,,,
260119-172108,033,Greedy_oracle,2.0,167.0,195,44,0.0184152126312255,0.8564102564102564,,,
260119-172108,033,Greedy_oracle,3.0,167.0,195,45,0.0183720588684082,0.8564102564102564,,,
260119-172108,033,Greedy_oracle,4.0,167.0,195,46,0.0181477069854736,0.8564102564102564,,,
260117-175942,033,Random,0.0,21.0,135,42,0.0149900913238525,0.15555555555555556,,,
260117-175942,033,Random,1.0,26.0,135,43,0.0150079727172851,0.1925925925925926,,,
260117-175942,033,Random,2.0,32.0,135,44,0.0151121616363525,0.23703703703703705,,,
260117-175942,033,Random,3.0,25.0,135,45,0.0153059959411621,0.18518518518518517,,,
260117-175942,033,Random,4.0,36.0,135,46,0.0151491165161132,0.26666666666666666,,,
260117-175942,033,Random_forward,0.0,32.0,135,42,0.0150630474090576,0.23703703703703705,,,
260117-175942,033,Random_forward,1.0,65.0,135,43,0.0155630111694335,0.48148148148148145,,,
260117-175942,033,Random_forward,2.0,57.0,135,44,0.0155930519104003,0.4222222222222222,,,
260117-175942,033,Random_forward,3.0,52.0,135,45,0.0150840282440185,0.3851851851851852,,,
260117-175942,033,Random_forward,4.0,38.0,135,46,0.0153348445892333,0.2814814814814815,,,
260117-175942,033,Greedy_oracle,0.0,116.0,135,42,0.012557029724121,0.8592592592592593,,,
260117-175942,033,Greedy_oracle,1.0,116.0,135,43,0.0123980045318603,0.8592592592592593,,,
260117-175942,033,Greedy_oracle,2.0,116.0,135,44,0.0125370025634765,0.8592592592592593,,,
260117-175942,033,Greedy_oracle,3.0,116.0,135,45,0.0124177932739257,0.8592592592592593,,,
260117-175942,033,Greedy_oracle,4.0,116.0,135,46,0.0123488903045654,0.8592592592592593,,,
260116-175247,033,Random,0.0,28.0,179,42,0.0202612876892089,0.1564245810055866,,,
260116-175247,033,Random,1.0,44.0,179,43,0.0202009677886962,0.24581005586592178,,,
260116-175247,033,Random,2.0,41.0,179,44,0.0203819274902343,0.22905027932960895,,,
260116-175247,033,Random,3.0,25.0,179,45,0.0202481746673584,0.13966480446927373,,,
260116-175247,033,Random,4.0,47.0,179,46,0.0198962688446044,0.26256983240223464,,,
260116-175247,033,Random_forward,0.0,49.0,179,42,0.0197467803955078,0.2737430167597765,,,
260116-175247,033,Random_forward,1.0,84.0,179,43,0.0206508636474609,0.4692737430167598,,,
260116-175247,033,Random_forward,2.0,82.0,179,44,0.0204029083251953,0.4581005586592179,,,
260116-175247,033,Random_forward,3.0,70.0,179,45,0.0204071998596191,0.39106145251396646,,,
260116-175247,033,Random_forward,4.0,38.0,179,46,0.0199999809265136,0.2122905027932961,,,
260116-175247,033,Greedy_oracle,0.0,153.0,179,42,0.0162301063537597,0.8547486033519553,,,
260116-175247,033,Greedy_oracle,1.0,153.0,179,43,0.0171451568603515,0.8547486033519553,,,
260116-175247,033,Greedy_oracle,2.0,153.0,179,44,0.0167701244354248,0.8547486033519553,,,
