V_target,n_nodes,side,instance,agent,seed,n_actions,total_reward,rpa,wall_time_s,wall_time_budget_exceeded,timestamp
36,36,6,0,Random,0,108,23.0,0.21296296296296297,0.0016481876373291016,False,2026-05-02T12:45:09
36,36,6,0,Random,1,108,29.0,0.26851851851851855,0.0007431507110595703,False,2026-05-02T12:45:09
36,36,6,0,Random,2,108,23.0,0.21296296296296297,0.000659942626953125,False,2026-05-02T12:45:09
36,36,6,0,Random,3,108,19.0,0.17592592592592593,0.0006847381591796875,False,2026-05-02T12:45:09
36,36,6,0,Random,4,108,33.0,0.3055555555555556,0.0006787776947021484,False,2026-05-02T12:45:09
36,36,6,0,Random_forward,0,108,34.0,0.3148148148148148,0.0010077953338623047,False,2026-05-02T12:45:09
36,36,6,0,Random_forward,1,108,34.0,0.3148148148148148,0.0008771419525146484,False,2026-05-02T12:45:09
36,36,6,0,Random_forward,2,108,34.0,0.3148148148148148,0.0007817745208740234,False,2026-05-02T12:45:09
36,36,6,0,Random_forward,3,108,52.0,0.48148148148148145,0.0009219646453857422,False,2026-05-02T12:45:09
36,36,6,0,Random_forward,4,108,44.0,0.4074074074074074,0.0008478164672851562,False,2026-05-02T12:45:09
36,36,6,0,Greedy_oracle,0,108,94.0,0.8703703703703703,0.0006573200225830078,False,2026-05-02T12:45:09
36,36,6,0,Greedy_oracle,1,108,94.0,0.8703703703703703,0.0006618499755859375,False,2026-05-02T12:45:09
36,36,6,0,Greedy_oracle,2,108,94.0,0.8703703703703703,0.0006787776947021484,False,2026-05-02T12:45:09
36,36,6,0,Greedy_oracle,3,108,94.0,0.8703703703703703,0.0006761550903320312,False,2026-05-02T12:45:09
36,36,6,0,Greedy_oracle,4,108,94.0,0.8703703703703703,0.0006611347198486328,False,2026-05-02T12:45:09
36,36,6,0,POMCP,0,108,73.0,0.6759259259259259,1.7914419174194336,False,2026-05-02T12:45:11
36,36,6,0,POMCP,1,108,68.0,0.6296296296296297,1.7625951766967773,False,2026-05-02T12:45:13
36,36,6,0,POMCP,2,108,67.0,0.6203703703703703,1.878957748413086,False,2026-05-02T12:45:15
36,36,6,0,POMCP,3,108,75.0,0.6944444444444444,1.841742992401123,False,2026-05-02T12:45:16
36,36,6,0,POMCP,4,108,68.0,0.6296296296296297,1.8585450649261475,False,2026-05-02T12:45:18
36,36,6,0,POMCP_bio_allo,0,108,36.0,0.3333333333333333,2.3293771743774414,False,2026-05-02T12:45:21
36,36,6,0,POMCP_bio_allo,1,108,36.0,0.3333333333333333,2.417997121810913,False,2026-05-02T12:45:23
36,36,6,0,POMCP_bio_allo,2,108,40.0,0.37037037037037035,2.266512870788574,False,2026-05-02T12:45:25
36,36,6,0,POMCP_bio_allo,3,108,37.0,0.3425925925925926,2.7178750038146973,False,2026-05-02T12:45:28
36,36,6,0,POMCP_bio_allo,4,108,67.0,0.6203703703703703,2.234632968902588,False,2026-05-02T12:45:30
36,36,6,0,FSC_bio,0,108,41.0,0.37962962962962965,0.002646923065185547,False,2026-05-02T12:45:30
36,36,6,0,FSC_bio,1,108,34.0,0.3148148148148148,0.002029895782470703,False,2026-05-02T12:45:30
36,36,6,0,FSC_bio,2,108,33.0,0.3055555555555556,0.0020279884338378906,False,2026-05-02T12:45:30
36,36,6,0,FSC_bio,3,108,33.0,0.3055555555555556,0.0019888877868652344,False,2026-05-02T12:45:30
36,36,6,0,FSC_bio,4,108,34.0,0.3148148148148148,0.0019719600677490234,False,2026-05-02T12:45:30
36,36,6,0,POMCP_bio_ego,0,108,31.0,0.28703703703703703,0.0009009838104248047,False,2026-05-02T12:45:30
36,36,6,0,POMCP_bio_ego,1,108,25.0,0.23148148148148148,0.00096893310546875,False,2026-05-02T12:45:30
36,36,6,0,POMCP_bio_ego,2,108,26.0,0.24074074074074073,0.0010418891906738281,False,2026-05-02T12:45:30
36,36,6,0,POMCP_bio_ego,3,108,8.0,0.07407407407407407,0.0011320114135742188,False,2026-05-02T12:45:30
36,36,6,0,POMCP_bio_ego,4,108,24.0,0.2222222222222222,0.0008502006530761719,False,2026-05-02T12:45:30
36,35,6,1,Random,0,108,18.0,0.16666666666666666,0.0007381439208984375,False,2026-05-02T12:45:30
36,35,6,1,Random,1,108,19.0,0.17592592592592593,0.0006868839263916016,False,2026-05-02T12:45:30
36,35,6,1,Random,2,108,29.0,0.26851851851851855,0.0006859302520751953,False,2026-05-02T12:45:30
36,35,6,1,Random,3,108,25.0,0.23148148148148148,0.0006780624389648438,False,2026-05-02T12:45:30
36,35,6,1,Random,4,108,17.0,0.1574074074074074,0.0006768703460693359,False,2026-05-02T12:45:30
36,35,6,1,Random_forward,0,108,43.0,0.39814814814814814,0.0008831024169921875,False,2026-05-02T12:45:30
36,35,6,1,Random_forward,1,108,29.0,0.26851851851851855,0.0008251667022705078,False,2026-05-02T12:45:30
36,35,6,1,Random_forward,2,108,52.0,0.48148148148148145,0.0008330345153808594,False,2026-05-02T12:45:30
36,35,6,1,Random_forward,3,108,41.0,0.37962962962962965,0.0008339881896972656,False,2026-05-02T12:45:30
36,35,6,1,Random_forward,4,108,39.0,0.3611111111111111,0.0008211135864257812,False,2026-05-02T12:45:30
36,35,6,1,Greedy_oracle,0,108,85.0,0.7870370370370371,0.0008261203765869141,False,2026-05-02T12:45:30
36,35,6,1,Greedy_oracle,1,108,85.0,0.7870370370370371,0.0007951259613037109,False,2026-05-02T12:45:30
36,35,6,1,Greedy_oracle,2,108,85.0,0.7870370370370371,0.0007951259613037109,False,2026-05-02T12:45:30
36,35,6,1,Greedy_oracle,3,108,85.0,0.7870370370370371,0.0007939338684082031,False,2026-05-02T12:45:30
36,35,6,1,Greedy_oracle,4,108,85.0,0.7870370370370371,0.0007870197296142578,False,2026-05-02T12:45:30
36,35,6,1,POMCP,0,108,66.0,0.6111111111111112,1.7856833934783936,False,2026-05-02T12:45:32
36,35,6,1,POMCP,1,108,66.0,0.6111111111111112,1.7588188648223877,False,2026-05-02T12:45:34
36,35,6,1,POMCP,2,108,63.0,0.5833333333333334,1.7518291473388672,False,2026-05-02T12:45:36
36,35,6,1,POMCP,3,108,68.0,0.6296296296296297,1.7485949993133545,False,2026-05-02T12:45:37
36,35,6,1,POMCP,4,108,65.0,0.6018518518518519,1.7741131782531738,False,2026-05-02T12:45:39
36,35,6,1,POMCP_bio_allo,0,108,41.0,0.37962962962962965,2.591024875640869,False,2026-05-02T12:45:42
36,35,6,1,POMCP_bio_allo,1,108,40.0,0.37037037037037035,2.7011611461639404,False,2026-05-02T12:45:44
36,35,6,1,POMCP_bio_allo,2,108,40.0,0.37037037037037035,2.6105101108551025,False,2026-05-02T12:45:47
36,35,6,1,POMCP_bio_allo,3,108,43.0,0.39814814814814814,2.4778900146484375,False,2026-05-02T12:45:49
36,35,6,1,POMCP_bio_allo,4,108,41.0,0.37962962962962965,2.487974166870117,False,2026-05-02T12:45:52
36,35,6,1,FSC_bio,0,108,29.0,0.26851851851851855,0.002254009246826172,False,2026-05-02T12:45:52
36,35,6,1,FSC_bio,1,108,31.0,0.28703703703703703,0.0020689964294433594,False,2026-05-02T12:45:52
36,35,6,1,FSC_bio,2,108,33.0,0.3055555555555556,0.0021369457244873047,False,2026-05-02T12:45:52
36,35,6,1,FSC_bio,3,108,33.0,0.3055555555555556,0.0020279884338378906,False,2026-05-02T12:45:52
36,35,6,1,FSC_bio,4,108,57.0,0.5277777777777778,0.002179861068725586,False,2026-05-02T12:45:52
36,35,6,1,POMCP_bio_ego,0,108,18.0,0.16666666666666666,0.0007789134979248047,False,2026-05-02T12:45:52
36,35,6,1,POMCP_bio_ego,1,108,24.0,0.2222222222222222,0.0008318424224853516,False,2026-05-02T12:45:52
36,35,6,1,POMCP_bio_ego,2,108,27.0,0.25,0.0007700920104980469,False,2026-05-02T12:45:52
36,35,6,1,POMCP_bio_ego,3,108,22.0,0.2037037037037037,0.0010099411010742188,False,2026-05-02T12:45:52
36,35,6,1,POMCP_bio_ego,4,108,31.0,0.28703703703703703,0.0008521080017089844,False,2026-05-02T12:45:52
36,36,6,2,Random,0,108,18.0,0.16666666666666666,0.0007631778717041016,False,2026-05-02T12:45:52
36,36,6,2,Random,1,108,24.0,0.2222222222222222,0.0007219314575195312,False,2026-05-02T12:45:52
36,36,6,2,Random,2,108,29.0,0.26851851851851855,0.0007240772247314453,False,2026-05-02T12:45:52
36,36,6,2,Random,3,108,24.0,0.2222222222222222,0.0006847381591796875,False,2026-05-02T12:45:52
36,36,6,2,Random,4,108,32.0,0.2962962962962963,0.0007100105285644531,False,2026-05-02T12:45:52
36,36,6,2,Random_forward,0,108,29.0,0.26851851851851855,0.0008828639984130859,False,2026-05-02T12:45:52
36,36,6,2,Random_forward,1,108,23.0,0.21296296296296297,0.0008249282836914062,False,2026-05-02T12:45:52
36,36,6,2,Random_forward,2,108,33.0,0.3055555555555556,0.0008518695831298828,False,2026-05-02T12:45:52
36,36,6,2,Random_forward,3,108,34.0,0.3148148148148148,0.0008611679077148438,False,2026-05-02T12:45:52
36,36,6,2,Random_forward,4,108,29.0,0.26851851851851855,0.0008740425109863281,False,2026-05-02T12:45:52
36,36,6,2,Greedy_oracle,0,108,77.0,0.7129629629629629,0.0009610652923583984,False,2026-05-02T12:45:52
36,36,6,2,Greedy_oracle,1,108,77.0,0.7129629629629629,0.0009012222290039062,False,2026-05-02T12:45:52
36,36,6,2,Greedy_oracle,2,108,77.0,0.7129629629629629,0.0008950233459472656,False,2026-05-02T12:45:52
