exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,status
260314-234628,033,Random,0,,485,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Random_forward,0,,485,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Greedy_oracle,0,,485,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260314-234628,033,FullFwd,0,16.0,485,0.032989690721649485,ok
260314-234628,033,NoBkFullFwd,0,16.0,485,0.032989690721649485,ok
260314-234628,033,FSC_bio,0,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_ego,0,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_real,0,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_latent,0,16.0,485,0.032989690721649485,ok
260314-234628,033,ConditionalClone_ego,0,16.0,485,0.032989690721649485,ok
260314-234628,033,Random,1,,485,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Random_forward,1,,485,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Greedy_oracle,1,,485,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260314-234628,033,FullFwd,1,16.0,485,0.032989690721649485,ok
260314-234628,033,NoBkFullFwd,1,16.0,485,0.032989690721649485,ok
260314-234628,033,FSC_bio,1,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_ego,1,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_real,1,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_latent,1,16.0,485,0.032989690721649485,ok
260314-234628,033,ConditionalClone_ego,1,16.0,485,0.032989690721649485,ok
260314-234628,033,Random,2,,485,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Random_forward,2,,485,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Greedy_oracle,2,,485,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260314-234628,033,FullFwd,2,16.0,485,0.032989690721649485,ok
260314-234628,033,NoBkFullFwd,2,16.0,485,0.032989690721649485,ok
260314-234628,033,FSC_bio,2,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_ego,2,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_real,2,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_latent,2,16.0,485,0.032989690721649485,ok
260314-234628,033,ConditionalClone_ego,2,16.0,485,0.032989690721649485,ok
260314-234628,033,Random,3,,485,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Random_forward,3,,485,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Greedy_oracle,3,,485,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260314-234628,033,FullFwd,3,16.0,485,0.032989690721649485,ok
260314-234628,033,NoBkFullFwd,3,16.0,485,0.032989690721649485,ok
260314-234628,033,FSC_bio,3,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_ego,3,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_real,3,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_latent,3,16.0,485,0.032989690721649485,ok
260314-234628,033,ConditionalClone_ego,3,16.0,485,0.032989690721649485,ok
260314-234628,033,Random,4,,485,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Random_forward,4,,485,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260314-234628,033,Greedy_oracle,4,,485,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260314-234628,033,FullFwd,4,16.0,485,0.032989690721649485,ok
260314-234628,033,NoBkFullFwd,4,16.0,485,0.032989690721649485,ok
260314-234628,033,FSC_bio,4,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_ego,4,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_real,4,16.0,485,0.032989690721649485,ok
260314-234628,033,Mouse-bias_allo_latent,4,16.0,485,0.032989690721649485,ok
260314-234628,033,ConditionalClone_ego,4,16.0,485,0.032989690721649485,ok
260316-000638,033,Random,0,,535,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Random_forward,0,,535,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Greedy_oracle,0,,535,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-000638,033,FullFwd,0,16.0,535,0.029906542056074768,ok
260316-000638,033,NoBkFullFwd,0,16.0,535,0.029906542056074768,ok
260316-000638,033,FSC_bio,0,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_ego,0,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_real,0,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_latent,0,16.0,535,0.029906542056074768,ok
260316-000638,033,ConditionalClone_ego,0,16.0,535,0.029906542056074768,ok
260316-000638,033,Random,1,,535,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Random_forward,1,,535,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Greedy_oracle,1,,535,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-000638,033,FullFwd,1,16.0,535,0.029906542056074768,ok
260316-000638,033,NoBkFullFwd,1,16.0,535,0.029906542056074768,ok
260316-000638,033,FSC_bio,1,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_ego,1,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_real,1,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_latent,1,16.0,535,0.029906542056074768,ok
260316-000638,033,ConditionalClone_ego,1,16.0,535,0.029906542056074768,ok
260316-000638,033,Random,2,,535,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Random_forward,2,,535,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Greedy_oracle,2,,535,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-000638,033,FullFwd,2,16.0,535,0.029906542056074768,ok
260316-000638,033,NoBkFullFwd,2,16.0,535,0.029906542056074768,ok
260316-000638,033,FSC_bio,2,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_ego,2,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_real,2,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_latent,2,16.0,535,0.029906542056074768,ok
260316-000638,033,ConditionalClone_ego,2,16.0,535,0.029906542056074768,ok
260316-000638,033,Random,3,,535,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Random_forward,3,,535,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Greedy_oracle,3,,535,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-000638,033,FullFwd,3,16.0,535,0.029906542056074768,ok
260316-000638,033,NoBkFullFwd,3,16.0,535,0.029906542056074768,ok
260316-000638,033,FSC_bio,3,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_ego,3,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_real,3,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_latent,3,16.0,535,0.029906542056074768,ok
260316-000638,033,ConditionalClone_ego,3,16.0,535,0.029906542056074768,ok
260316-000638,033,Random,4,,535,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Random_forward,4,,535,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Greedy_oracle,4,,535,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-000638,033,FullFwd,4,16.0,535,0.029906542056074768,ok
260316-000638,033,NoBkFullFwd,4,16.0,535,0.029906542056074768,ok
260316-000638,033,FSC_bio,4,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_ego,4,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_real,4,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_latent,4,16.0,535,0.029906542056074768,ok
260316-000638,033,ConditionalClone_ego,4,16.0,535,0.029906542056074768,ok
260316-230259,033,Random,0,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,0,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,0,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,0,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,0,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,0,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,1,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,1,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,1,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,1,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,1,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,1,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,2,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,2,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,2,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,2,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,2,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,2,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,3,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,3,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,3,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,3,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,3,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,3,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,4,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,4,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,4,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,4,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,4,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,4,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,4,16.0,272,0.058823529411764705,ok
