exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,elapsed_s,reset_val,n_init_rewards,adj_file,status,timestamp
240222-151220,2,DQN,2,12.0,56,0.21428571428571427,0.88,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:18
240222-151220,2,DQN,1,34.0,56,0.6071428571428571,0.92,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:18
240222-151220,2,DQN,0,10.0,56,0.17857142857142858,0.93,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:18
240222-151220,2,DQN,4,30.0,56,0.5357142857142857,0.93,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:18
240222-151220,2,DQN,3,8.0,56,0.14285714285714285,0.99,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-165224,7,DQN,2,16.0,119,0.13445378151260504,1.03,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-165224,7,DQN,0,13.0,119,0.1092436974789916,1.05,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-165224,7,DQN,1,43.0,119,0.36134453781512604,1.17,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-204949,2,DQN,0,10.0,76,0.13157894736842105,0.38,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-204949,2,DQN,2,12.0,76,0.15789473684210525,0.33,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-204949,2,DQN,4,37.0,76,0.4868421052631579,0.38,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-204949,2,DQN,1,39.0,76,0.5131578947368421,0.52,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-165224,7,DQN,4,38.0,119,0.31932773109243695,0.55,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-204949,2,DQN,3,11.0,76,0.14473684210526316,0.51,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-165224,7,DQN,3,14.0,119,0.11764705882352941,0.77,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-224328,2,DQN,0,10.0,77,0.12987012987012986,0.45,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-224328,2,DQN,2,12.0,77,0.15584415584415584,0.4,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:19
240222-224328,2,DQN,4,37.0,77,0.4805194805194805,0.45,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-160431,2,DQN,0,10.0,81,0.12345679012345678,0.47,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240222-224328,2,DQN,1,39.0,77,0.5064935064935064,0.64,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240222-224328,2,DQN,3,12.0,77,0.15584415584415584,0.62,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-160431,2,DQN,2,12.0,81,0.14814814814814814,0.46,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-160431,2,DQN,1,39.0,81,0.48148148148148145,0.62,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-160431,2,DQN,4,37.0,81,0.4567901234567901,0.44,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-160431,2,DQN,3,13.0,81,0.16049382716049382,0.59,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-174033,7,DQN,2,16.0,189,0.08465608465608465,0.63,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-174033,7,DQN,0,16.0,189,0.08465608465608465,0.7,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-174033,7,DQN,1,43.0,189,0.2275132275132275,0.79,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:20
240223-174033,7,DQN,4,40.0,189,0.21164021164021163,0.72,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-174033,7,DQN,3,20.0,189,0.10582010582010581,0.88,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-193124,8,DQN,0,16.0,218,0.07339449541284404,0.8,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-193124,8,DQN,2,16.0,218,0.07339449541284404,0.73,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-193124,8,DQN,1,43.0,218,0.19724770642201836,0.9,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-214541,2,DQN,0,13.0,111,0.11711711711711711,0.5,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-214541,2,DQN,2,16.0,111,0.14414414414414414,0.44,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-214541,2,DQN,1,43.0,111,0.38738738738738737,0.63,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-221851,7,DQN,0,10.0,83,0.12048192771084337,0.4,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-193124,8,DQN,4,44.0,218,0.2018348623853211,0.9,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-214541,2,DQN,4,38.0,111,0.34234234234234234,0.54,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-193124,8,DQN,3,20.0,218,0.09174311926605505,1.04,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-214541,2,DQN,3,14.0,111,0.12612612612612611,0.71,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:21
240223-221851,7,DQN,2,12.0,83,0.14457831325301204,0.35,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240223-221851,7,DQN,1,39.0,83,0.46987951807228917,0.52,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240223-221851,7,DQN,4,37.0,83,0.4457831325301205,0.4,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240223-221851,7,DQN,3,13.0,83,0.1566265060240964,0.49,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240224-150641,2,DQN,0,13.0,109,0.11926605504587157,0.45,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240224-150641,2,DQN,2,15.0,109,0.13761467889908258,0.42,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240224-150641,2,DQN,1,43.0,109,0.3944954128440367,0.65,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240224-150641,2,DQN,4,38.0,109,0.3486238532110092,0.57,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240224-150641,2,DQN,3,14.0,109,0.12844036697247707,0.75,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:22
240224-171744,7,DQN,0,16.0,298,0.053691275167785234,1.15,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-171744,7,DQN,2,33.0,298,0.11073825503355705,1.05,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-171744,7,DQN,1,53.0,298,0.17785234899328858,1.24,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-171744,7,DQN,4,58.0,298,0.19463087248322147,1.11,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-190358,8,DQN,0,16.0,269,0.05947955390334572,0.96,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-190358,8,DQN,2,33.0,269,0.12267657992565056,0.89,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-171744,7,DQN,3,20.0,298,0.06711409395973154,1.34,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-190358,8,DQN,1,43.0,269,0.15985130111524162,1.03,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:23
240224-203254,2,DQN,0,16.0,144,0.1111111111111111,0.54,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240224-203254,2,DQN,2,16.0,144,0.1111111111111111,0.52,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240224-203254,2,DQN,1,43.0,144,0.2986111111111111,0.65,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240225-160114,2,DQN,0,13.0,123,0.10569105691056911,0.53,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240224-190358,8,DQN,4,58.0,269,0.21561338289962825,0.93,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240224-203254,2,DQN,4,38.0,144,0.2638888888888889,0.64,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240224-190358,8,DQN,3,20.0,269,0.07434944237918216,1.15,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240224-203254,2,DQN,3,14.0,144,0.09722222222222222,0.78,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240225-160114,2,DQN,2,16.0,123,0.13008130081300814,0.46,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240225-160114,2,DQN,1,43.0,123,0.34959349593495936,0.67,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240225-160114,2,DQN,4,38.0,123,0.3089430894308943,0.59,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:24
240225-160114,2,DQN,3,14.0,123,0.11382113821138211,0.77,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:25
240225-175244,7,DQN,0,16.0,347,0.04610951008645533,1.18,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:25
