exp_moment,animal_ID,csv_data_path,csv_filename,policy_class,representation,avoid_reversal,sequence_length,agent_model,repeat_group_idx,n_rewards,n_actions,rpa,initial_rewards
240909-073945,a001,data_in/1_experiment_csvs/240909-073945_a001_data.csv,240909-073945_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,8,42,0.19047619047619047,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
240909-073945,a001,data_in/1_experiment_csvs/240909-073945_a001_data.csv,240909-073945_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,6,42,0.14285714285714285,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
240908-094846,a001,data_in/1_experiment_csvs/240908-094846_a001_data.csv,240908-094846_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,9,86,0.10465116279069768,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
240908-094846,a001,data_in/1_experiment_csvs/240908-094846_a001_data.csv,240908-094846_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,15,86,0.1744186046511628,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
240907-202036,a001,data_in/1_experiment_csvs/240907-202036_a001_data.csv,240907-202036_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,4,11,0.36363636363636365,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
240907-202036,a001,data_in/1_experiment_csvs/240907-202036_a001_data.csv,240907-202036_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,3,11,0.2727272727272727,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
240906-112537,a001,data_in/1_experiment_csvs/240906-112537_a001_data.csv,240906-112537_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,8,53,0.1509433962264151,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
240906-112537,a001,data_in/1_experiment_csvs/240906-112537_a001_data.csv,240906-112537_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,10,53,0.18867924528301888,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
240901-224944,a001,data_in/1_experiment_csvs/240901-224944_a001_data.csv,240901-224944_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,7,64,0.109375,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
240901-224944,a001,data_in/1_experiment_csvs/240901-224944_a001_data.csv,240901-224944_a001_data.csv,fixed policy,latent node idx,False,1,latent state biased,0,9,64,0.140625,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
